population_acs52014,per_capita_income_acs52014,Subdivision
29237.0,37005.0,Gloucester
1151.0,31127.0,Goshen
99.0,31071.0,Gosnold
18047.0,40384.0,Grafton
6301.0,32813.0,Granby
1518.0,30492.0,Granville
7029.0,31586.0,Great Barrington
17484.0,27168.0,Greenfield Town
10997.0,49398.0,Groton
6805.0,38717.0,Groveland
5285.0,39118.0,Hadley
7629.0,34566.0,Halifax
8098.0,46834.0,Hamilton
5174.0,35782.0,Hampden
726.0,31730.0,Hancock
14120.0,42458.0,Hanover
10316.0,34154.0,Hanson
3006.0,30336.0,Hardwick
6558.0,50853.0,Harvard
12205.0,38555.0,Harwich
3293.0,35446.0,Hatfield
61769.0,30348.0,Haverhill
435.0,31444.0,Hawley
629.0,36448.0,Heath
22550.0,59751.0,Hingham
2161.0,29997.0,Hinsdale
10925.0,33999.0,Holbrook
17802.0,41686.0,Holden
2491.0,32782.0,Holland
14008.0,45096.0,Holliston
40079.0,21671.0,Holyoke
5934.0,40410.0,Hopedale
15604.0,55334.0,Hopkinton
4452.0,32973.0,Hubbardston
19464.0,37219.0,Hudson
10324.0,43162.0,Hull
2034.0,25377.0,Huntington
13480.0,43461.0,Ipswich
12846.0,36864.0,Kingston
10933.0,35958.0,Lakeville
8026.0,31304.0,Lancaster
3064.0,35183.0,Lanesborough
77364.0,17295.0,Lawrence
5922.0,33023.0,Lee
11147.0,29901.0,Leicester
5043.0,41337.0,Lenox
40954.0,30055.0,Leominster
1836.0,43596.0,Leverett
32306.0,69064.0,Lexington
650.0,36607.0,Leyden
7181.0,66400.0,Lincoln
9157.0,47681.0,Littleton
15858.0,53904.0,Longmeadow
108491.0,23046.0,Lowell
21288.0,30684.0,Ludlow
10797.0,36208.0,Lunenburg
91289.0,23457.0,Lynn
12058.0,48625.0,Lynnfield
60309.0,26760.0,Malden
5247.0,69180.0,Manchester-by-the-Sea
23389.0,42293.0,Mansfield
20163.0,59585.0,Marblehead
4935.0,43446.0,Marion
39141.0,37368.0,Marlborough
25430.0,41717.0,Marshfield
13988.0,36904.0,Mashpee
6138.0,37830.0,Mattapoisett
10314.0,41769.0,Maynard
12236.0,65243.0,Medfield
56981.0,36636.0,Medford
12965.0,45617.0,Medway
27509.0,43866.0,Melrose
5895.0,46110.0,Mendon
6536.0,36308.0,Merrimac
48159.0,31023.0,Methuen Town
23541.0,33204.0,Middleborough
514.0,42375.0,Middlefield
9273.0,39439.0,Middleton
28203.0,33654.0,Milford
13350.0,33070.0,Millbury
8007.0,43022.0,Millis
3208.0,32546.0,Millville
27204.0,47870.0,Milton
118.0,25697.0,Monroe
8660.0,32481.0,Monson
8394.0,27214.0,Montague
777.0,37632.0,Monterey
950.0,36307.0,Montgomery
151.0,46383.0,Mount Washington
3451.0,42117.0,Nahant
10414.0,47548.0,Nantucket
34230.0,51608.0,Natick
29540.0,62497.0,Needham
238.0,34355.0,New Ashford
94873.0,21181.0,New Bedford
1109.0,34143.0,New Braintree
1497.0,35610.0,New Marlborough
1089.0,34830.0,New Salem
6794.0,46163.0,Newbury
17662.0,48428.0,Newburyport
86945.0,64475.0,Newton
11529.0,43701.0,Norfolk
13563.0,22672.0,North Adams
28963.0,49045.0,North Andover
28779.0,35517.0,North Attleborough
4715.0,28377.0,North Brookfield
15249.0,47455.0,North Reading
28637.0,35516.0,Northampton
14644.0,44516.0,Northborough
16100.0,33897.0,Northbridge
3031.0,31588.0,Northfield
19280.0,32470.0,Norton
10651.0,49968.0,Norwell
28844.0,40197.0,Norwood
4599.0,31955.0,Oak Bluffs
1791.0,31607.0,Oakham
7793.0,21350.0,Orange
5874.0,44687.0,Orleans
1470.0,30741.0,Otis
13772.0,29836.0,Oxford
12155.0,26778.0,Palmer Town
4839.0,36647.0,Paxton
51868.0,34316.0,Peabody
1350.0,45191.0,Pelham
18006.0,37823.0,Pembroke
11782.0,34826.0,Pepperell
871.0,30664.0,Peru
1277.0,32312.0,Petersham
1647.0,30195.0,Phillipston
44226.0,26913.0,Pittsfield
605.0,28720.0,Plainfield
8581.0,40014.0,Plainville
57414.0,36700.0,Plymouth
2840.0,36561.0,Plympton
3432.0,47716.0,Princeton
2959.0,45910.0,Provincetown
92920.0,33932.0,Quincy
33135.0,28200.0,Randolph
13517.0,34819.0,Raynham
25176.0,47168.0,Reading
11742.0,36452.0,Rehoboth
53258.0,26269.0,Revere
1535.0,53641.0,Richmond
5348.0,38800.0,Rochester
17616.0,30996.0,Rockland
7078.0,44848.0,Rockport
452.0,24575.0,Rowe
5995.0,42933.0,Rowley
1230.0,27618.0,Royalston
1532.0,31026.0,Russell
8188.0,35706.0,Rutland
42321.0,31965.0,Salem
8495.0,34226.0,Salisbury
896.0,31261.0,Sandisfield
20605.0,34671.0,Sandwich
27369.0,33800.0,Saugus
703.0,28282.0,Savoy
18240.0,50084.0,Scituate
14131.0,35415.0,Seekonk
17879.0,56465.0,Sharon
3230.0,35288.0,Sheffield
1979.0,33082.0,Shelburne
4200.0,78680.0,Sherborn
7404.0,25506.0,Shirley
36114.0,41521.0,Shrewsbury
1804.0,38709.0,Shutesbury
18262.0,32057.0,Somerset
77560.0,36229.0,Somerville
17745.0,31228.0,South Hadley
5958.0,33589.0,Southampton
9869.0,65915.0,Southborough
16775.0,22773.0,Southbridge Town
9599.0,37591.0,Southwick
11746.0,29335.0,Spencer
153836.0,18435.0,Springfield
7870.0,41260.0,Sterling
2127.0,44453.0,Stockbridge
21611.0,39542.0,Stoneham
27833.0,34568.0,Stoughton
6841.0,51690.0,Stow
9363.0,38358.0,Sturbridge
18197.0,74556.0,Sudbury
3683.0,28520.0,Sunderland
9078.0,44046.0,Sutton
13912.0,54272.0,Swampscott
16005.0,35488.0,Swansea
56056.0,26461.0,Taunton
8091.0,28918.0,Templeton
29718.0,40201.0,Tewksbury
4036.0,31020.0,Tisbury
569.0,35825.0,Tolland
6286.0,59090.0,Topsfield
9183.0,36065.0,Townsend
1738.0,39408.0,Truro
11867.0,41977.0,Tyngsborough
418.0,48505.0,Tyringham
7641.0,42380.0,Upton
13609.0,34358.0,Uxbridge
25835.0,40051.0,Wakefield
1923.0,28631.0,Wales
24571.0,44224.0,Walpole
61908.0,35642.0,Waltham
9886.0,27664.0,Ware
22247.0,30739.0,Wareham
5153.0,26984.0,Warren
695.0,33226.0,Warwick
546.0,36788.0,Washington
32880.0,45822.0,Watertown Town
13294.0,72717.0,Wayland
16806.0,26413.0,Webster
28858.0,71733.0,Wellesley
3011.0,34711.0,Wellfleet
898.0,25154.0,Wendell
5039.0,45202.0,Wenham
7792.0,28392.0,West Boylston
6981.0,33334.0,West Bridgewater
3738.0,32878.0,West Brookfield
4370.0,52373.0,West Newbury
28554.0,27356.0,West Springfield Town
1349.0,37105.0,West Stockbridge
2727.0,29642.0,West Tisbury
18481.0,45760.0,Westborough
41371.0,27664.0,Westfield
22854.0,49168.0,Westford
1586.0,35464.0,Westhampton
7361.0,36965.0,Westminster
11704.0,102346.0,Weston
15647.0,35776.0,Westport
14809.0,65445.0,Westwood
54815.0,35162.0,Weymouth Town
1384.0,35305.0,Whately
14643.0,33024.0,Whitman
14363.0,39352.0,Wilbraham
2583.0,38270.0,Williamsburg
7624.0,34533.0,Williamstown
22907.0,38303.0,Wilmington
10466.0,27793.0,Winchendon
21863.0,66880.0,Winchester
879.0,34759.0,Windsor
17992.0,35341.0,Winthrop Town
38826.0,35767.0,Woburn
182511.0,24447.0,Worcester
1154.0,35747.0,Worthington
11169.0,42779.0,Wrentham
23680.0,33872.0,Yarmouth
