State,BudgetDetail,value,Year
California,Percent from Fees / Other,74.78,2011_old
California,Percent from Fees / Other,80.10,2013
California,Percent from Fees / Other,,2013_old
California,Percent from General Fund,3.46,2012
California,Percent from General Fund,,2014
California,Percent from General Fund,,2015
California,Percent from General Fund,5.21,2011_old
California,Percent from General Fund,3.60,2013
California,Percent from General Fund,,2013_old
California,Status of Budget,Enacted,2012
California,Status of Budget,Enacted,2014
California,Status of Budget,Enacted,2015
California,Status of Budget,Enacted,2011_old
California,Status of Budget,Proposed,2013
California,Status of Budget,Enacted,2013_old
Colorado,Amount from Federal Government,,2009
Colorado,Amount from Federal Government,,2010
Colorado,Amount from Federal Government,,2012
Colorado,Amount from Federal Government,28264005,2014
Colorado,Amount from Federal Government,28927035,2015
Colorado,Amount from Federal Government,,2011
Colorado,Amount from Federal Government,,2011_old
Colorado,Amount from Federal Government,,2013
Colorado,Amount from Federal Government,25560226,2013_old
Colorado,Amount from Fees / Other,,2009
Colorado,Amount from Fees / Other,,2010
Colorado,Amount from Fees / Other,,2012
Colorado,Amount from Fees / Other,43196873,2014
Colorado,Amount from Fees / Other,46979480,2015
Colorado,Amount from Fees / Other,,2011
Colorado,Amount from Fees / Other,,2011_old
Colorado,Amount from Fees / Other,,2013
Colorado,Amount from Fees / Other,35904295,2013_old
Colorado,Amount from General Fund,,2009
Colorado,Amount from General Fund,,2010
Colorado,Amount from General Fund,,2012
Colorado,Amount from General Fund,19240937,2014
Colorado,Amount from General Fund,23919927,2015
Colorado,Amount from General Fund,,2011
Colorado,Amount from General Fund,,2011_old
Colorado,Amount from General Fund,,2013
Colorado,Amount from General Fund,2536466,2013_old
Colorado,Amount of Budget from SRF,27339000,2012
Colorado,Amount of Budget from SRF,28636000,2011_old
Colorado,Amount of Budget from SRF,,2013
Colorado,Environmental Agency Budget,61588869,2009
Colorado,Environmental Agency Budget,60619938,2010
Colorado,Environmental Agency Budget,,2012
Colorado,Environmental Agency Budget,59906708,2011
Colorado,Environmental Agency Budget,,2011_old
Colorado,Environmental Agency Budget,,2013
Colorado,Environmental Agency Budget (No SRF),,2012
Colorado,Environmental Agency Budget (No SRF),,2011_old
Colorado,Environmental Agency Budget (No SRF),,2013
Colorado,Environmental Agency Budget (SRF Added),85837220,2012
Colorado,Environmental Agency Budget (SRF Added),87121712,2011_old
Colorado,Environmental Agency Budget (SRF Added),63967456,2013
Colorado,Percent from Federal Government,40.60,2009
Colorado,Percent from Federal Government,32.60,2010
Colorado,Percent from Federal Government,38.40,2012
Colorado,Percent from Federal Government,,2014
Colorado,Percent from Federal Government,,2015
Colorado,Percent from Federal Government,31.70,2011
Colorado,Percent from Federal Government,42.76,2011_old
Colorado,Percent from Federal Government,39.90,2013
Colorado,Percent from Federal Government,,2013_old
Colorado,Percent from Fees / Other,52.70,2009
Colorado,Percent from Fees / Other,61.00,2010
Colorado,Percent from Fees / Other,57.30,2012
Colorado,Percent from Fees / Other,,2014
Colorado,Percent from Fees / Other,,2015
Colorado,Percent from Fees / Other,61.90,2011
Colorado,Percent from Fees / Other,52.39,2011_old
Colorado,Percent from Fees / Other,56.20,2013
Colorado,Percent from Fees / Other,,2013_old
Colorado,Percent from General Fund,6.70,2009
Colorado,Percent from General Fund,6.40,2010
Colorado,Percent from General Fund,4.30,2012
Colorado,Percent from General Fund,,2014
Colorado,Percent from General Fund,,2015
Colorado,Percent from General Fund,6.40,2011
Colorado,Percent from General Fund,4.85,2011_old
Colorado,Percent from General Fund,3.90,2013
Colorado,Percent from General Fund,,2013_old
Colorado,Status of Budget,Actual Expenditures,2009
Colorado,Status of Budget,Final,2010
Colorado,Status of Budget,Appropriated,2012
Colorado,Status of Budget,Appropriated,2014
Colorado,Status of Budget,Appropriated,2015
Colorado,Status of Budget,Adopted (no,2011
Colorado,Status of Budget,Appropriated,2011_old
Colorado,Status of Budget,Appropriated,2013
Colorado,Status of Budget,Appropriated,2013_old
Connecticut,Amount from Federal Government,,2012
Connecticut,Amount from Federal Government,34880165,2014
Connecticut,Amount from Federal Government,29646775,2015
Connecticut,Amount from Federal Government,,2011_old
Connecticut,Amount from Federal Government,,2013
Connecticut,Amount from Federal Government,40335317,2013_old
Connecticut,Amount from Fees / Other,,2012
Connecticut,Amount from Fees / Other,64518694,2014
Connecticut,Amount from Fees / Other,74131020,2015
Connecticut,Amount from Fees / Other,,2011_old
Connecticut,Amount from Fees / Other,,2013
Connecticut,Amount from Fees / Other,64289771,2013_old
Connecticut,Amount from General Fund,,2012
Connecticut,Amount from General Fund,78019349,2014
Connecticut,Amount from General Fund,72711066,2015
Connecticut,Amount from General Fund,,2011_old
Connecticut,Amount from General Fund,,2013
Connecticut,Amount from General Fund,70408464,2013_old
Connecticut,Amount of Budget from SRF,26464000,2012
Connecticut,Amount of Budget from SRF,27691000,2011_old
Connecticut,Amount of Budget from SRF,,2013
Connecticut,Environmental Agency Budget,,2012
Connecticut,Environmental Agency Budget,177418208,2014
Connecticut,Environmental Agency Budget,176488861,2015
Connecticut,Environmental Agency Budget,,2011_old
Connecticut,Environmental Agency Budget,,2013
Connecticut,Environmental Agency Budget,175033552,2013_old
Connecticut,Environmental Agency Budget (No SRF),,2012
Connecticut,Environmental Agency Budget (No SRF),,2011_old
Connecticut,Environmental Agency Budget (No SRF),,2013
Connecticut,Environmental Agency Budget (SRF Added),145013817,2012
Connecticut,Environmental Agency Budget (SRF Added),158049514,2011_old
Connecticut,Environmental Agency Budget (SRF Added),111440507,2013
Connecticut,Percent from Federal Government,16.56,2012
Connecticut,Percent from Federal Government,,2014
Connecticut,Percent from Federal Government,,2015
Connecticut,Percent from Federal Government,27.79,2011_old
Connecticut,Percent from Federal Government,17.62,2013
Connecticut,Percent from Federal Government,,2013_old
Connecticut,Percent from Fees / Other,20.31,2012
Connecticut,Percent from Fees / Other,,2014
Connecticut,Percent from Fees / Other,,2015
Connecticut,Percent from Fees / Other,30.92,2011_old
Connecticut,Percent from Fees / Other,21.61,2013
Connecticut,Percent from Fees / Other,,2013_old
Connecticut,Percent from General Fund,63.13,2012
Connecticut,Percent from General Fund,,2014
Connecticut,Percent from General Fund,,2015
Connecticut,Percent from General Fund,41.29,2011_old
Connecticut,Percent from General Fund,60.78,2013
Connecticut,Percent from General Fund,,2013_old
Connecticut,Status of Budget,Current,2012
Connecticut,Status of Budget,Final,2014
Connecticut,Status of Budget,Final,2015
Connecticut,Status of Budget,Enacted,2011_old
Connecticut,Status of Budget,Recommended,2013
Connecticut,Status of Budget,Final,2013_old
Delaware,Amount from Federal Government,,2012
Delaware,Amount from Federal Government,41572413,2014
Delaware,Amount from Federal Government,27938088,2015
Delaware,Amount from Federal Government,,2011_old
Delaware,Amount from Federal Government,,2013
Delaware,Amount from Federal Government,19996497,2013_old
Delaware,Amount from Fees / Other,,2012
Delaware,Amount from Fees / Other,48951307,2014
Delaware,Amount from Fees / Other,47392557,2015
Delaware,Amount from Fees / Other,,2011_old
Delaware,Amount from Fees / Other,,2013
Delaware,Amount from Fees / Other,33218178,2013_old
Delaware,Amount from General Fund,,2012
Delaware,Amount from General Fund,18716100,2014
Delaware,Amount from General Fund,18461200,2015
Delaware,Amount from General Fund,,2011_old
Delaware,Amount from General Fund,,2013
Delaware,Amount from General Fund,18133500,2013_old
Delaware,Amount of Budget from SRF,Included,2012
Delaware,Amount of Budget from SRF,Included,2011_old
Delaware,Amount of Budget from SRF,,2013
Delaware,Environmental Agency Budget,157366600,2012
Delaware,Environmental Agency Budget,109239820,2014
Delaware,Environmental Agency Budget,93791845,2015
Delaware,Environmental Agency Budget,165150300,2011_old
Delaware,Environmental Agency Budget,141681700,2013
Delaware,Environmental Agency Budget,71348175,2013_old
Delaware,Percent from Federal Government,28.21,2012
Delaware,Percent from Federal Government,,2014
Delaware,Percent from Federal Government,,2015
Delaware,Percent from Federal Government,57.73,2011_old
Delaware,Percent from Federal Government,26.39,2013
Delaware,Percent from Federal Government,,2013_old
Delaware,Percent from Fees / Other,58.57,2012
Delaware,Percent from Fees / Other,,2014
Delaware,Percent from Fees / Other,,2015
Delaware,Percent from Fees / Other,25.11,2011_old
Delaware,Percent from Fees / Other,58.73,2013
Delaware,Percent from Fees / Other,,2013_old
Delaware,Percent from General Fund,13.22,2012
Delaware,Percent from General Fund,,2014
Delaware,Percent from General Fund,,2015
Delaware,Percent from General Fund,17.16,2011_old
Delaware,Percent from General Fund,14.88,2013
Delaware,Percent from General Fund,,2013_old
Delaware,Status of Budget,Budgeted,2012
Delaware,Status of Budget,Actual,2014
Delaware,Status of Budget,Actual,2015
Delaware,Status of Budget,Actual,2011_old
Delaware,Status of Budget,Recommended,2013
Delaware,Status of Budget,Actual,2013_old
District of Columbia,Amount from Federal Government,,2012
District of Columbia,Amount from Federal Government,20687103,2014
District of Columbia,Amount from Federal Government,18792515,2015
District of Columbia,Amount from Federal Government,,2011_old
District of Columbia,Amount from Federal Government,,2013
District of Columbia,Amount from Federal Government,22572140,2013_old
District of Columbia,Amount from Fees / Other,,2012
District of Columbia,Amount from Fees / Other,37405802,2014
District of Columbia,Amount from Fees / Other,39305137,2015
District of Columbia,Amount from Fees / Other,,2011_old
District of Columbia,Amount from Fees / Other,,2013
District of Columbia,Amount from Fees / Other,34311573,2013_old
District of Columbia,Amount from General Fund,,2012
District of Columbia,Amount from General Fund,16590847,2014
District of Columbia,Amount from General Fund,17950588,2015
District of Columbia,Amount from General Fund,,2011_old
District of Columbia,Amount from General Fund,,2013
District of Columbia,Amount from General Fund,13081737,2013_old
District of Columbia,Amount of Budget from SRF,15983000,2012
District of Columbia,Amount of Budget from SRF,16740000,2011_old
District of Columbia,Amount of Budget from SRF,,2013
District of Columbia,Environmental Agency Budget,,2012
District of Columbia,Environmental Agency Budget,,2011_old
District of Columbia,Environmental Agency Budget,,2013
District of Columbia,Environmental Agency Budget (No SRF),,2012
District of Columbia,Environmental Agency Budget (No SRF),,2011_old
District of Columbia,Environmental Agency Budget (No SRF),,2013
District of Columbia,Environmental Agency Budget (SRF Added),101273000,2012
District of Columbia,Environmental Agency Budget (SRF Added),87720000,2011_old
District of Columbia,Environmental Agency Budget (SRF Added),94258000,2013
District of Columbia,Percent from Federal Government,40.05,2012
District of Columbia,Percent from Federal Government,,2014
District of Columbia,Percent from Federal Government,,2015
District of Columbia,Percent from Federal Government,46.14,2011_old
District of Columbia,Percent from Federal Government,28.97,2013
District of Columbia,Percent from Federal Government,,2013_old
District of Columbia,Percent from Fees / Other,0.65,2012
District of Columbia,Percent from Fees / Other,,2014
District of Columbia,Percent from Fees / Other,,2015
District of Columbia,Percent from Fees / Other,1.15,2011_old
District of Columbia,Percent from Fees / Other,1.61,2013
District of Columbia,Percent from Fees / Other,,2013_old
District of Columbia,Percent from General Fund,59.30,2012
District of Columbia,Percent from General Fund,,2014
District of Columbia,Percent from General Fund,,2015
District of Columbia,Percent from General Fund,52.70,2011_old
District of Columbia,Percent from General Fund,69.42,2013
District of Columbia,Percent from General Fund,,2013_old
District of Columbia,Status of Budget,Approved,2012
District of Columbia,Status of Budget,Actual,2014
District of Columbia,Status of Budget,Actual,2015
District of Columbia,Status of Budget,Actual,2011_old
District of Columbia,Status of Budget,Approved,2013
District of Columbia,Status of Budget,Actual,2013_old
Florida,Amount from Federal Government,,2009
Florida,Amount from Federal Government,,2010
Florida,Amount from Federal Government,284750637,2014
Florida,Amount from Federal Government,302575038,2015
Florida,Amount from Federal Government,,2011
Florida,Amount from Federal Government,274323755,2013_old
Florida,Amount from Fees / Other,,2009
Florida,Amount from Fees / Other,,2010
Florida,Amount from Fees / Other,784107182,2014
Florida,Amount from Fees / Other,851708675,2015
Florida,Amount from Fees / Other,,2011
Florida,Amount from Fees / Other,973083358,2013_old
Florida,Amount from General Fund,,2009
Florida,Amount from General Fund,,2010
Florida,Amount from General Fund,114444301,2014
Florida,Amount from General Fund,286154544,2015
Florida,Amount from General Fund,,2011
Florida,Amount from General Fund,48726242,2013_old
Florida,Environmental Agency Budget,1183302120,2014
Florida,Environmental Agency Budget,1440438257,2015
Florida,Environmental Agency Budget,1296133355,2013_old
Florida,Percent from Federal Government,7.60,2009
Florida,Percent from Federal Government,18.20,2010
Florida,Percent from Federal Government,,2014
Florida,Percent from Federal Government,,2015
Florida,Percent from Federal Government,9.60,2011
Florida,Percent from Federal Government,,2013_old
Florida,Percent from Fees / Other,85.50,2009
Florida,Percent from Fees / Other,74.10,2010
Florida,Percent from Fees / Other,,2014
Florida,Percent from Fees / Other,,2015
Florida,Percent from Fees / Other,80.60,2011
Florida,Percent from Fees / Other,,2013_old
Florida,Percent from General Fund,6.90,2009
Florida,Percent from General Fund,7.70,2010
Florida,Percent from General Fund,,2014
Florida,Percent from General Fund,,2015
Florida,Percent from General Fund,9.80,2011
Florida,Percent from General Fund,,2013_old
Florida,Status of Budget,SFY 08-09 state budget adopted,2009
Florida,Status of Budget,SFY 09-10 state budget adopted,2010
Florida,Status of Budget,Final,2014
Florida,Status of Budget,Final,2015
Florida,Status of Budget,SFY 10-11 state budget adopted,2011
Florida,Status of Budget,Final,2013_old
Georgia,Amount from Federal Government,,2012
Georgia,Amount from Federal Government,49505987,2014
Georgia,Amount from Federal Government,52203462,2015
Georgia,Amount from Federal Government,,2011_old
Georgia,Amount from Federal Government,,2013
Georgia,Amount from Federal Government,45429288,2013_old
Georgia,Amount from Fees / Other,,2012
Georgia,Amount from Fees / Other,51835599,2014
Georgia,Amount from Fees / Other,58927223,2015
Georgia,Amount from Fees / Other,,2011_old
Georgia,Amount from Fees / Other,,2013
Georgia,Amount from Fees / Other,60328016,2013_old
Georgia,Amount from General Fund,,2012
Georgia,Amount from General Fund,25897906,2014
Georgia,Amount from General Fund,29550306,2015
Georgia,Amount from General Fund,,2011_old
Georgia,Amount from General Fund,,2013
Georgia,Amount from General Fund,25279200,2013_old
Georgia,Amount of Budget from SRF,45345000,2012
Georgia,Amount of Budget from SRF,47473000,2011_old
Georgia,Amount of Budget from SRF,,2013
Georgia,Environmental Agency Budget,,2012
Georgia,Environmental Agency Budget,127239492,2014
Georgia,Environmental Agency Budget,140680991,2015
Georgia,Environmental Agency Budget,,2011_old
Georgia,Environmental Agency Budget,,2013
Georgia,Environmental Agency Budget,131036504,2013_old
Georgia,Environmental Agency Budget (No SRF),,2012
Georgia,Environmental Agency Budget (No SRF),,2011_old
Georgia,Environmental Agency Budget (No SRF),,2013
Georgia,Environmental Agency Budget (SRF Added),165947063,2012
Georgia,Environmental Agency Budget (SRF Added),172747733,2011_old
Georgia,Environmental Agency Budget (SRF Added),121139089,2013
Georgia,Percent from Federal Government,28.49,2012
Georgia,Percent from Federal Government,,2014
Georgia,Percent from Federal Government,,2015
Georgia,Percent from Federal Government,30.91,2011_old
Georgia,Percent from Federal Government,27.13,2013
Georgia,Percent from Federal Government,,2013_old
Georgia,Percent from Fees / Other,47.29,2012
Georgia,Percent from Fees / Other,,2014
Georgia,Percent from Fees / Other,,2015
Georgia,Percent from Fees / Other,46.54,2011_old
Georgia,Percent from Fees / Other,47.08,2013
Georgia,Percent from Fees / Other,,2013_old
Georgia,Percent from General Fund,24.22,2012
Georgia,Percent from General Fund,,2014
Georgia,Percent from General Fund,,2015
Georgia,Percent from General Fund,22.55,2011_old
Georgia,Percent from General Fund,25.80,2013
Georgia,Percent from General Fund,,2013_old
Georgia,Status of Budget,Current,2012
Georgia,Status of Budget,Final,2014
Georgia,Status of Budget,Final,2015
Georgia,Status of Budget,Final,2011_old
Georgia,Status of Budget,Appropriated,2013
Georgia,Status of Budget,Final,2013_old
Hawaii,Amount from Federal Government,,2012
Hawaii,Amount from Federal Government,15208835,2014
Hawaii,Amount from Federal Government,15037888,2015
Hawaii,Amount from Federal Government,,2011_old
Hawaii,Amount from Federal Government,,2013
Hawaii,Amount from Federal Government,14832504,2013_old
Hawaii,Amount from Fees / Other,,2012
Hawaii,Amount from Fees / Other,251942941,2014
Hawaii,Amount from Fees / Other,252455599,2015
Hawaii,Amount from Fees / Other,,2011_old
Hawaii,Amount from Fees / Other,,2013
Hawaii,Amount from Fees / Other,250713912,2013_old
Hawaii,Amount from General Fund,,2012
Hawaii,Amount from General Fund,17736574,2014
Hawaii,Amount from General Fund,18387204,2015
Hawaii,Amount from General Fund,,2011_old
Hawaii,Amount from General Fund,,2013
Hawaii,Amount from General Fund,16157475,2013_old
Hawaii,Amount of Budget from SRF,Included,2012
Hawaii,Amount of Budget from SRF,Included,2011_old
Hawaii,Amount of Budget from SRF,Included,2013
Hawaii,Environmental Agency Budget,257348104,2012
Hawaii,Environmental Agency Budget,284888350,2014
Hawaii,Environmental Agency Budget,285880691,2015
Hawaii,Environmental Agency Budget,256223117,2011_old
Hawaii,Environmental Agency Budget,257344104,2013
Hawaii,Environmental Agency Budget,281703891,2013_old
Hawaii,Percent from Federal Government,67.66,2012
Hawaii,Percent from Federal Government,,2014
Hawaii,Percent from Federal Government,,2015
Hawaii,Percent from Federal Government,67.75,2011_old
Hawaii,Percent from Federal Government,67.66,2013
Hawaii,Percent from Federal Government,,2013_old
Hawaii,Percent from Fees / Other,31.33,2012
Hawaii,Percent from Fees / Other,,2014
