Colorado,,,
Status of Budget,Final,Current,Proposed
Budget includes SRF/ARRA funds (Yes/No)?,Yes,Yes,Yes
% from General Fund,17.49%,12.70%,11.29%
"% from Federal Government (e.g., EPA)",25.00%,35.32%,39.00%
% from Fees / Other,57.51%,51.98%,49.71%
,,,
Oregon,,,
,FY 2009,FY 2010,FY 2011
Environmental Agency Budget,"$102,567,044","$103,198,738","$101,980,738"
Status of Budget,Actuals,Approved,Approved
Budget includes,Yes,Yes,Yes
Budget includes SRF/ARRA funds (Yes/No)?,Operating Funds Only,Operating Funds Only,Operating Funds Only
% from General Fund,17.50%,13.75%,12.70%
"% from Federal Government (e.g., EPA)",13.50%,17.40%,17.60%
% from Fees / Other,69.00%,68.85%,69.70%
,,,
Washington,,,
,FY 2009,FY 2010,FY 2011
Environmental Agency Budget,410973094,549564787,553182709
Environmental Agency Budget - Operating,195774180,200174780,203792702
Environmental Agency Budget - Capital,215198914,349390007,349390007
Status of Budget, Actuals,Enacted,Enacted
Budget includes SRF/ARRA funds (Yes/No)?, No, No, No
% from General Fund,0.22,0.31,0.3
% from General Fund - Operating,0.16,0.21,0.18
% from General Fund - Capital,0.27,0.37,0.37
"% from Federal Government (e.g., EPA)",0.14,0.18,0.18
"% from Federal Government (e.g., EPA) - Operating",0.19,0.21,0.21
"% from Federal Government (e.g., EPA) - Capital",0.1,0.17,0.17
% from Fees / Other,0.64,0.51,0.52
% from Fees / Other - Operating,0.65,0.58,0.61
% from Fees / Other - Capital,0.63,0.46,0.46
