State,Budget Detail,FY 2008-2009,FY 2009,FY 2009-2010,FY 2010,FY 2010-2011,FY 2011
Washington,% from General Fund - Capital,,0.27,,0.37,,0.37
Washington,"% from Federal Government (e.g., EPA)",,0.14,,0.18,,0.18
Washington,"% from Federal Government (e.g., EPA) - Operating",,0.19,,0.21,,0.21
Washington,"% from Federal Government (e.g., EPA) - Capital",,0.1,,0.17,,0.17
Washington,% from Fees / Other,,0.64,,0.51,,0.52
Washington,% from Fees / Other - Operating,,0.65,,0.58,,0.61
Washington,% from Fees / Other - Capital,,0.63,,0.46,,0.46
Wisconsin,Status of Budget,,"Actual
Expenditures",,Approved Budget,,Approved Budget
Wisconsin,% from General Fund,,40%,,30%,,23%
Wisconsin,"% from Federal Government (e.g., EPA)",,13%,,13%,,13%
Wisconsin,% from Fees / Other,,47%,,57%,,64%
Wyoming,Status of Budget,,Appropriated,,Appropriated,,Appropriated
Wyoming,% from General Fund,,48%,,47%,,47%
Wyoming,"% from Federal Government (e.g., EPA)",,28%,,27%,,27%
Wyoming,% from Fees / Other,,24%,,26%,,26%
