"Env. Agency Budget (SRF Added) $282,667,171","$281,291,022",,
Status of Budget Actual,Estimated,,
"Amount of Budget from SRF $23,240,000","$22,203,000",,
"% from General Fund 4.30%",4.17%,,
"% from Federal Government  58.12%",64.71%,,
"% from Fees, Other 37.57%",31.11%,,
"",,,
19,,,
Missouri,,,
FY 2011,FY 2012,FY 2013,
"Env. Agency Budget $332,525,551","$264,770,210","$505,528,883",
Status of Budget Final,Final,,Final
Amount of Budget from SRF Included,Included,Included,
"% from General Fund 2.46%",3.06%,,1.62%
"% from Federal Government  34.45%",18.19%,10.14%,
"% from Fees, Other 63.09%",78.75%,88.24%,
"",,,
Montana,,,
FY 2011,FY 2012,FY 2013,
"Env. Agency Budget (SRF Added) $75,941,557","$74,209,820","$58,222,952",
Status of Budget Enacted,Current,Budgeted,
"Amount of Budget from SRF $16,740,000","$15,983,000",,
"% from General Fund 9.19%",9.38%,,9.39%
"% from Federal Government 38.88%",37.14%,37.12%,
"% from Fees, Other 51.92%",53.46%,53.47%,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
19 Missouri Data Notes: The data includes environmental operating budgets as well as environmental,,,
related ARRA expenditures.  It does not include fringe benefits or administrative costs (including,,,
"information technology) that are budgeted in other agencies’ budgets. Overall, the department’s",,,
environmental budget grew from approximately $264 million in 2012 to $505 million in 2013. This,,,
"primarily resulted from the Missouri General Assembly’s removal of estimated appropriations,",,,
"necessitating increased appropriation levels in many areas, primarily pass through programs - many of",,,
"which involve multi-year projects. In order to obligate, encumber and pay all outstanding commitments",,,
Nebraska,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget,"$69,263,520","$70,177,716","$68,214,446"
Status of Budget,Expended,Current,Enacted
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",12.51%,11.28%,8.40%
"% from Federal Government",55.20%,42.38%,43.54%
"% from Fees, Other",32.29%,46.34%,48.06%
"",,,
Nevada,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$95,045,027","$78,853,147","$82,617,731"
Status of Budget,Final,Current,Projected
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",0%,0%,0%
"% from Federal Government",46%,46%,36%
"% from Fees, Other",54%,54%,64%
"",,,
New Hampshire,,,
"",FY 2011,FY 2012,FY 2013
Environmental Agency Budget,"$225,939,534","$210,905,558","$202,450,251"
Status of Budget,Final,Current,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",8.89%,8.32%,7.72%
"% from Federal Government",31.93%,36.74%,37.80%
"% from Fees, Other",59.18%,54.94%,54.48%
"",,,
New Jersey,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$145,635,000","$178,138,000","$196,236,000"
Status of Budget,Actual,Appropriated,Recommended
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",72.63%,56.04%,56.65%
"% from Federal Government",11.03%,32.21%,32.54%
"% from Fees, Other",16.33%,11.75%,10.80%
"",,,
New York,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$735,172,855","$793,843,946","$666,526,514"
Status of Budget,Actual,Actual,Projected
Amount of Budget from SRF,"$226,694,000","$216,715,000",
"% from General Fund",28.00%,31.00%,28.00%
"% from Federal Government",15.00%,17.00%,15.00%
"% from Fees, Other",57.00%,52.00%,57.00%
North Carolina,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$390,815,728","$393,512,955","$388,875,321"
Status of Budget,Final,Current,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",20.25%,33.21%,32.69%
"% from Federal Government",49.93%,36.45%,36.89%
"% from Fees, Other",29.82%,30.34%,30.42%
"",,,
North Dakota,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$23,285,782","$24,077,698","$24,077,698"
Status of Budget,Actual,Current,Requested
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",16.72%,14.33%,14.33%
"% from Federal Government",71.42%,72.37%,72.37%
"% from Fees, Other",11.86%,13.30%,13.30%
"",,,
Ohio,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$292,316,980","$296,703,194","$183,814,494"
Status of Budget,Actual,Enacted,Enacted
Amount of Budget from SRF,"$114,230,000","$109,207,000",
"% from General Fund",7.17%,6.95%,7.20%
"% from Federal Government",18.44%,18.75%,18.37%
"% from Fees, Other",74.39%,74.31%,74.42%
"",,,
Oklahoma,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$52,275,000","$70,655,000",
Status of Budget,Actual,Budgeted,
Amount of Budget from SRF,Included,Included,
"% from General Fund",14.40%,11.70%,
"% from Federal Government",24.02%,30.38%,
"% from Fees, Other",61.57%,57.91%,
"",,,
Oregon,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$103,385,856","$102,368,370","$102,386,370"
Status of Budget,Approved,Balanced,Balanced
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",15.90%,14.15%,14.15%
"% from Federal Government",17.40%,15.92%,15.92%
"% from Fees, Other",66.70%,69.93%,69.93%
Pennsylvania,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget,"$793,386,000","$678,624,000","$607,087,000"
Status of Budget,Actual,Available,Budgeted
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",18.11%,20.21%,20.85%
"% from Federal Government",49%,39.58%,36.84%
"% from Fees, Other",32.89%,40.21%,42.31%
"",,,
Puerto Rico,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$51,777,000","$49,121,000","$39,647,000"
Status of Budget,Spent,Adopted,Recommended
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",1.35%,11.48%,13.30%
"% from Federal Government",68.30%,61.13%,54.29%
"% from Fees, Other",30.50%,27.39%,32.41%
"",,,
Rhode Island,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$46,012,443","$50,925,716","$31,357,988"
Status of Budget,Actual,Enacted,Recommended
Amount of Budget from SRF,"$19,433,000","$18,561,000",
"% from General Fund",43.90%,37.40%,36.90%
"% from Federal Government",36.40%,41.50%,39.60%
"% from Fees, Other",19.70%,21.10%,23.50%
"",,,
South Carolina,,,
"",FY 2010-2011,FY 2011-2012,FY 2012-2013
Env. Agency Budget (SRF Added),"$89,438,488","$102,519,996","$84,167,698"
Status of Budget,Actual,Current,Estimated
Amount of Budget from SRF,"$24,698,000","$23,600,000",
"% from General Fund",18.76%,12.52%,16.79%
"% from Federal Government",42.12%,42.69%,36.74%
"% from Fees, Other",39.12%,44.79%,46.47%
"",,,
South Dakota,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$54,258,387","$49,628,260","$21,668,089"
Status of Budget,Actual,Budgeted,Budgeted
Amount of Budget from SRF,"$16,740,000","$15,983,000",
"% from General Fund",15.48%,15.53%,25.50%
"% from Federal Government",77.16%,58.79%,33.72%
"% from Fees, Other",7.36%,25.68%,40.77%
Tennessee,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$116,938,600","$143,926,100","$140,239,200"
Status of Budget,Approved,Approved,Proposed
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",18.13%,15.76%,14.21%
"% from Federal Government",18.80%,16.87%,15.54%
"% from Fees, Other",63.08%,67.37%,70.24%
"",,,
Texas,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$650,228,000","$476,291,000","$325,600,000"
Status of Budget,Actual,Current,Recommended
Amount of Budget from SRF,"$128,028,000","$122,291,000",
"% from General Fund",2.77%,1.69%,1.84%
"% from Federal Government",8.23%,12.43%,12.10%
"% from Fees, Other",89.00%,85.88%,86.06%
"",,,
Utah,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$65,942,000","$69,905,400","$52,714,700"
Status of Budget,Actual,Authorized,Recommended
Amount of Budget from SRF,"$17,277,000","$16,497,000",
"% from General Fund",21.95%,19.84%,21.22%
"% from Federal Government",40.28%,39.29%,38.02%
"% from Fees, Other",37.77%,40.87%,40.76%
"",,,
Vermont,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$71,696,652","$66,151,955","$43,098,825"
Status of Budget,Actual,Current,Recommended
Amount of Budget from SRF,Included,Included,No
"% from General Fund",10.30%,12.40%,16.00%
"% from Federal Government",66.60%,49.30%,27.00%
"% from Fees, Other",23.10%,38.30%,57.00%
"",,,
Virginia,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$292,244,526","$265,153,034","$241,498,308"
Status of Budget,Enacted,Current,Proposed
Amount of Budget from SRF,Included,Included,Partial
20,,,
"% from General Fund",11.36%,12.81%,12.76%
"% from Federal Government",30.26%,29.65%,25.22%
"% from Fees, Other",58.38%,57.54%,62.02%
"",,,
Washington,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$248,303,014","$263,472,000","$225,442,000"
Status of Budget,Actual,Proposed,Proposed
Amount of Budget from SRF,"$49,983,000","$47,740,000",
"% from General Fund",20.91%,15.00%,12.82%
"% from Federal Government",18.16%,21.49%,24.90%
"% from Fees, Other",60.93%,63.51%,62.28%
"",,,
West Virginia,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget,"$248,316,190","$494,113,927","$441,098,268"
Status of Budget,Actual,Current,Enrolled
Amount of Budget from SRF,Included,Included,Included
"% from General Fund",3.10%,1.64%,1.84%
"% from Federal Government",44.91%,47.96%,40.81%
"% from Fees, Other",51.99%,50.40%,57.35%
"",,,
Wisconsin,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$241,467,800","$251,171,300","$197,751,700"
Status of Budget,Actual,Current,Adopted
Amount of Budget from SRF,"$56,561,000","$54,068,000",
"% from General Fund",19.00%,20.00%,20.00%
"% from Federal Government",20.00%,16.00%,16.00%
"% from Fees, Other",61.00%,64.00%,64.00%
"",,,
Wyoming,,,
"",FY 2011,FY 2012,FY 2013
Env. Agency Budget (SRF Added),"$46,544,600","$45,787,600","$30,041,444"
Status of Budget,Actual,Actual,Current
Amount of Budget from SRF,"$16,740,000","$15,983,000",
"% from General Fund",47.00%,47.00%,51.00%
"% from Federal Government",27.00%,27.00%,26.00%
"% from Fees, Other",26.00%,26.00%,23.00%
