Watershed,waterBody,cso_id,DischargeVolume
MT HOPE BAY,MOUNT HOPE BAY,001,488.25
MT HOPE BAY,MOUNT HOPE BAY,FAL002,25.851647
MT HOPE BAY,MOUNT HOPE BAY,FAL003,6.884397
MT HOPE BAY,MOUNT HOPE BAY,FAL004,1.255661
MT HOPE BAY,MOUNT HOPE BAY,FAL005,0.136616
MT HOPE BAY,MOUNT HOPE BAY,FAL006,1.305104
MT HOPE BAY,MOUNT HOPE BAY,FAL007,0.260132
MT HOPE BAY,MOUNT HOPE BAY,FAL008,0.647889
MT HOPE BAY,QUEQUECHAN RIVER,FAL009,0.354168
MT HOPE BAY,QUEQUECHAN RIVER,FAL019,3.306947
MYSTIC,ALEWIFE BROOK,CAM001,0.0
MYSTIC,ALEWIFE BROOK,CAM401A,2.402
MYSTIC,ALEWIFE BROOK,CAM401B,0.27
MYSTIC,ALEWIFE BROOK,SOM001A,1.209
MYSTIC,BOSTON INNER HARBOR,BOS003,3.086
MYSTIC,BOSTON INNER HARBOR,BOS004,0.01
MYSTIC,BOSTON INNER HARBOR,BOS009,0.34855
MYSTIC,BOSTON INNER HARBOR,BOS013,0.279
MYSTIC,CHELSEA RIVER,CHE008,0.286
MYSTIC,LITTLE MYSTIC CHANNEL,BOS019,0.6515
MYSTIC,LITTLE RIVER,MWR003,0.03
MYSTIC,MYSTIC RIVER,MWR205,52.06
MYSTIC,MYSTIC RIVER,SOM007A/MWR205A,18.89
NASHUA,ABANDONED FALULAH CANAL,FIT041,0.006
NASHUA,BIRCH BROOK @ HEYWOOD ST,FIT076,0.012
NASHUA,NASHUA RIVER,FIT010,0.886061
NASHUA,NASHUA RIVER,FIT032,0.577962
NASHUA,NASHUA RIVER,FIT064,1.842268
NASHUA,NORTH NASHUA RIVER,063,16.1307
NASHUA,PUNCH BROOK CULVERT @ BOULDER DRIVE VIA PUTNAM ST.,FIT045A,0.665586
NASHUA,PUNCH BROOK CULVERT @ MAIN ST.,FIT083,0.125478
NASHUA,PUNCH BROOK CULVERT@BOULDER ST VIA MAIN ST,FIT045B,0.889001
NORTH COAST,HARBOR COVE,GLO004,0.051
NORTH COAST,INNER HARBOR,GLO006A,0.054
NORTH COAST,LYNN HARBOR,LYNN004,9.318638
NORTH COAST,LYNN HARBOR,LYNN005,18.602051
NORTH COAST,MASSACHUSETTS BAY,001,0.89
NORTH COAST,SAUGUS RIVER,LYNN003,8.605317
SHAWSHEEN,MERRIMACK RIVER,GLSD002,3.5837
SOUTH COASTAL,FRENCH STREAM,001,1.0
TAUNTON,TAUNTON RIVER,FAL010,24.578183
TAUNTON,TAUNTON RIVER,FAL011,82.942566
TAUNTON,TAUNTON RIVER,FAL013,95.549598
TAUNTON,TAUNTON RIVER,FAL014,21.662245
WESTFIELD,CONNECTICUT RIVER,001,6.767
WESTFIELD,CONNECTICUT RIVER,SPR042,13.43667
