ChemicalName,Class,CollectedDate,ContaminantGroup,Id,LocationName,PWSId,PWSName,RaworFinished,Result,Town
PCB AROCLOR 1232,NTNC,2006-02-13T00:00:00,SOC,1744647,POINT OF ENTRY POST TREATMENT,1111006,GRANBY JR SR HIGH AND EAST MEADOW SCHOOL,F,0.00000000,GRANBY
CHLORIDE,COM,2011-11-29T00:00:00,SECCON,1744643,GP WELL # 4,4036001,BUZZARDS BAY WATER DISTRICT,F,17.40000000,BOURNE
CHLORODIBROMOMETHANE,COM,2014-10-01T00:00:00,VOC,1744637,RAW WATER: WELL #2,2175000,MEDFIELD WATER DEPT.,R,0.00000000,MEDFIELD
ALDICARB SULFOXIDE,NTNC,2012-04-11T00:00:00,SOC,1744633,POINT OF ENTRY,1223010,GALE BROOK SCHOOL,F,0.00000000,ORANGE
BARIUM,COM,2016-11-16T00:00:00,INORG,1744627,WEST PARISH FILTERS POST TREATMENT,1281000,SPRINGFIELD WATER AND SEWER COMMISSION,F,0.00800000,SPRINGFIELD
"2,4,5-TP (SILVEX)",COM,2016-11-18T00:00:00,SOC,1744623,FINISHED: GREEN ST. WTP (BLEND),2138000,HOPEDALE WATER DEPARTMENT,F,0.00000000,HOPEDALE
NITRATE,NC,2010-11-24T00:00:00,NITRAT,1744617,POINT OF ENTRY,1345008,SANGAR GENERAL STORE,F,0.19000000,WINDSOR
TOTAL TRIHALOMETHANES,COM,2007-08-14T00:00:00,THM,1744613,9 MATHURIN ROAD,4238000,PLAINVILLE WATER DEPARTMENT,F,33.50000000,PLAINVILLE
PICLORAM,COM,2003-05-28T00:00:00,SOC,1744607,GP WELL #11,4126000,HARWICH WATER DEPARTMENT,F,0.00000000,HARWICH
"1,1,1-TRICHLOROETHANE",NTNC,2015-04-20T00:00:00,VOC,1744603,"WELL #5 - TAP #018 (B-21,22)",2054029,"LFB USA, INC.",F,0.00000000,CHARLTON
THALLIUM,COM,2005-05-19T00:00:00,INORG,1744597,TEWKSBURY WTP - FINISHED,3295000,TEWKSBURY WATER DEPARTMENT,F,0.00000000,TEWKSBURY
SELENIUM,COM,2016-01-05T00:00:00,INORG,1744593,NEW LAWRENCE WTP - FINISHED,3149000,LAWRENCE WATER WORKS,F,0.00000000,LAWRENCE
METOLACHLOR,COM,2009-02-11T00:00:00,SOC,1744587,POINT OF ENTRY POST TREATMENT,1074000,DEERFIELD FIRE DISTRICT,F,0.00000000,DEERFIELD
CHLOROFORM,COM,1994-06-16T00:00:00,VOC,1744583,GP WELL # 7 NORTH MAIN ST. (08G),4351000,YARMOUTH WATER DEPARTMENT,F,1.00000000,YARMOUTH
DI(2-ETHYLHEXYL)PHTHALATE,COM,2012-02-28T00:00:00,SOC,1744577,W.T.P.  - FINISHED WATER,3181000,METHUEN WATER DEPT,F,0.00000000,METHUEN
PCB AROCLOR 1232,COM,2015-05-04T00:00:00,SOC,1744573,POINT OF ENTRY POST TREATMENT,1283019,ORONOQUE CONDOMINIUM TRUST,F,0.00000000,STOCKBRIDGE
PROPACHLOR,COM,2012-03-05T00:00:00,SOC,1744567,POINT OF ENTRY POST TREATMENT,1275001,SOUTH HADLEY FIRE DISTRICT #2 WATER DEPT,F,0.00000000,SOUTH HADLEY
"1,1,1,2-TETRACHLOROETHANE",NC,2017-07-26T00:00:00,VOC,1744565,WELL #2: FINISHED,2037030,MASS. AVE. GULF,F,0.00000000,BOXBOROUGH
P-ISOPROPYLTOLUENE,NC,2012-07-11T00:00:00,VOC,1744563,RAW WATER: WELL #1,2034007,CLASSIC PIZZA III,R,0.00000000,BOLTON
"1,2,3-TRICHLOROBENZENE",COM,2017-07-17T00:00:00,VOC,1744560,ROCKLAND AVE. WTP: TREATED (BLEND),2174000,"MAYNARD DPW, WATER DIVISION",F,0.00000000,MAYNARD
LINDANE,COM,2016-11-07T00:00:00,SOC,1744557,FALULAH FILTRATION PLANT,2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",F,0.00000000,FITCHBURG
BROMOFORM,COM,2017-07-17T00:00:00,VOC,1744555,ROCKLAND AVE. WTP: TREATED (BLEND),2174000,"MAYNARD DPW, WATER DIVISION",F,0.00000000,MAYNARD
ENDRIN,COM,2010-04-20T00:00:00,SOC,1744553,FINISHED: WELL #1 - NORTH MAIN STREET,2226000,AQUARION WATER COMPANY OXFORD,F,0.00000000,OXFORD
"1,1,1-TRICHLOROETHANE",COM,2017-07-20T00:00:00,VOC,1744550,GP WELL # 15 - HAYDEN,4020002,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,F,0.00000000,BARNSTABLE
DIBROMOMETHANE,COM,2005-03-03T00:00:00,VOC,1744547,MILE LANE GP WELL,3144000,IPSWICH DPU  WATER DEPT,F,5.40000000,IPSWICH
"1,1-DICHLOROETHANE",COM,2017-07-20T00:00:00,VOC,1744545,ARENA WELLS #3 & #4,4020002,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,F,0.00000000,BARNSTABLE
TETRACHLOROETHYLENE,COM,2008-01-08T00:00:00,PCE,1744543,TASHMOO DRIVE,4096000,FALMOUTH WATER DEPT,F,0.99000000,FALMOUTH
DICHLORODIFLUOROMETHANE,NC,2017-06-20T00:00:00,VOC,1744540,WELL #1 (BEFORE TREATMENT),2287028,MOBIL GAS STURBRIDGE,R,0.00000000,STURBRIDGE
CHROMIUM,COM,2004-01-07T00:00:00,INORG,1744537,NAGOG POND (01S),3067000,CONCORD WATER DEPT,F,0.00000000,CONCORD
"1,2,3-TRICHLOROPROPANE",NC,2017-06-20T00:00:00,VOC,1744535,WELL #1 (BEFORE TREATMENT),2287028,MOBIL GAS STURBRIDGE,R,0.00000000,STURBRIDGE
HALOACETIC ACIDS,COM,2013-02-05T00:00:00,HAA5,1744533,WELLS #1 & #2,3320000,WENHAM WATER DEPT.,F,1.20000000,WENHAM
O-CHLOROTOLUENE,COM,2017-07-17T00:00:00,VOC,1744532,ROCKLAND AVE. WTP: TREATED (BLEND),2174000,"MAYNARD DPW, WATER DIVISION",F,0.00000000,MAYNARD
NICKEL,COM,2017-04-26T00:00:00,INORG,1744530,WELL #1,2139007,VILLAGE AT HIGHLAND PARK,F,0.00000000,HOPKINTON
"1,2-DICHLOROPROPANE",NTNC,2013-04-25T00:00:00,VOC,1744527,LIBRARY - KITCHEN,3269019,SHERBORN TOWN OFFICES; POLICE; LIBRARY,F,0.00000000,SHERBORN
MONOBROMOACETIC ACID,COM,2017-05-02T00:00:00,HAA5,1744525,599 BROADWAY,3149000,LAWRENCE WATER WORKS,F,0.00000000,LAWRENCE
HALOACETIC ACIDS,COM,2003-05-05T00:00:00,HAA5,1744523,687 NORTH MAIN STREET,4016000,ATTLEBORO WATER DEPT,F,37.90000000,ATTLEBORO
M-DICHLOROBENZENE,NC,2017-07-26T00:00:00,VOC,1744522,WELL #2: FINISHED,2037030,MASS. AVE. GULF,F,0.00000000,BOXBOROUGH
"1,1-DICHLOROETHANE",COM,2016-05-10T00:00:00,VOC,1744520,POINT OF ENTRY,1279000,SOUTHWICK WATER DEPT,F,0.00000000,SOUTHWICK
OXAMYL (VYDATE),COM,2003-11-20T00:00:00,SOC,1744517," WELL #2,#3,#5,#10",4219000,NORWELL WATER DEPARTMENT,F,0.00000000,NORWELL
"1,1-DICHLOROETHYLENE",COM,2016-05-10T00:00:00,VOC,1744515,POINT OF ENTRY,1279000,SOUTHWICK WATER DEPT,F,0.00000000,SOUTHWICK
STYRENE,NTNC,2017-03-22T00:00:00,VOC,1744513,STORAGE TANK TAP,2188004,BLACKSTONE/MILLVILLE SCHOOL,F,0.00000000,MILLVILLE
METHYL TERTIARY BUTYL ETHER,NC,2017-07-24T00:00:00,VOC,1744512,WELL #1 - PINE HILL,2125006,CAMP GREEN EYRE GIRL SCOUT CAMP,F,0.00000000,HARVARD
NITRATE,COM,1994-03-02T00:00:00,NITRAT,1744510,HORNBINE WTP - FINISHED WATER,4292000,SWANSEA WATER DISTRICT,F,0.61000000,SWANSEA
CHLORDANE,NTNC,1999-09-29T00:00:00,SOC,1744507,WELL #1,2034025,NASHOBA PARK,F,0.00000000,BOLTON
NITRITE,NC,2010-07-27T00:00:00,NITRIT,1744505,WELL#4 BARRETTS POND#2,4052022,DCR MYLES STANDISH STATE FOREST,F,0.00000000,CARVER
HEXACHLOROCYCLOPENTADIENE,COM,2004-06-29T00:00:00,SOC,1744503,KENOZA LAKE,3128000,HAVERHILL WATER DEPT,F,0.00000000,HAVERHILL
BROMODICHLOROMETHANE,COM,2017-07-20T00:00:00,VOC,1744502,ARENA WELLS #3 & #4,4020002,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,F,0.00000000,BARNSTABLE
HEXACHLOROBUTADIENE,COM,2014-10-01T00:00:00,VOC,1744500,RAW WATER: WELL #2,2175000,MEDFIELD WATER DEPT.,R,0.00000000,MEDFIELD
TRICHLOROACETIC ACID,COM,2014-02-06T00:00:00,HAA5,1744497,POLICE STATION - 211 MAIN ST - 1ST WK OF MONTH,2215000,NORTHBOROUGH WATER DEPARTMENT (MWRA),F,0.00000000,NORTHBOROUGH
"1,2,4-TRIMETHYLBENZENE",COM,2014-10-01T00:00:00,VOC,1744495,RAW WATER: WELL #2,2175000,MEDFIELD WATER DEPT.,R,0.00000000,MEDFIELD
MERCURY,COM,2003-04-01T00:00:00,INORG,1744493,FINISHED: WHITIN TWF PUMP STATION,2216000,WHITINSVILLE WATER COMPANY,F,0.00000000,NORTHBRIDGE
BROMODICHLOROMETHANE,COM,2017-06-20T00:00:00,VOC,1744492,FINISHED: CHESTNUT ST. WTF,2141000,HUDSON WATER SUPPLY,F,1.90000000,HUDSON
MANGANESE,COM,2012-02-15T00:00:00,SECCON,1744490,RAW WATER: GLEN AVE WELLFIELD WELL 1,2303000,UPTON DPW WATER/WASTEWATER DIVISION,R,0.02800000,UPTON
DICAMBA,COM,2004-12-14T00:00:00,SOC,1744487,CRYSTAL LAKE FILTRATION PLANT,2103000,GARDNER WATER DEPARTMENT,F,0.00000000,GARDNER
NICKEL,COM,1999-03-08T00:00:00,INORG,1744485,OLD WTP (BOSTON RD) - FINISHED,3031000,BILLERICA WATER WORKS,F,0.00000000,BILLERICA
MONOBROMOACETIC ACID,COM,2009-04-07T00:00:00,HAA5,1744483,FRANCIS HILL TANK: HUNT ROAD,3330000,WESTFORD WATER DEPARTMENT,F,0.00000000,WESTFORD
"1,3,5-TRIMETHYLBENZENE",COM,2017-05-17T00:00:00,VOC,1744482,PATTON REPLACEMENT WELL: FINISHED WATER,2019001,DEVENS  MASSDEVELOPMENT,F,0.00000000,AYER
"ALKALINITY (CACO3), TOTAL",COM,2007-04-10T00:00:00,SECCON,1744480,FINISHED: SPECTACLE POND WTF (BLEND),2019000,AYER DPW  WATER DIVISION,F,97.00000000,AYER
DICAMBA,COM,2015-06-04T00:00:00,SOC,1744477,"WELL 6,7 AND 8",4351000,YARMOUTH WATER DEPARTMENT,F,0.00000000,YARMOUTH
"1,3,5-TRIMETHYLBENZENE",NC,2009-09-23T00:00:00,VOC,1744475,BEDROCK WELL #1,2286011,MINUTEMAN AIRFIELD,F,0.00000000,STOW
CARBON TETRACHLORIDE,NTNC,2011-03-08T00:00:00,VOC,1744473,RAW WATER:  WELL #1,2179005,HENRY P. CLOUGH SCHOOL,R,0.00000000,MENDON
FLUORIDE,COM,2011-07-25T00:00:00,INORG,1744472,WELL I - RAW WATER,3347000,WOBURN WATER DEPT.,R,0.06470000,WOBURN
