,incidentId,incidentNumber,incidentDate,incidentTime,amPm,reporterClass,eventType,permiteeClass,permiteeName,permiteeId,outfallId,municipality,reportingType,location,latitude,longitude,waterBody,waterBodyDescription,volumnOfEvent,rainfallData,hours,minutes,month,additionalInformation,submittedDate,parentIncidentId,Year
10,b18bc32c-523c-4986-9862-ba58cdc170b8,24010654,2024-07-23 00:00:00,20:00,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,,AGAWAM,,Other,,,Other,Connecticut River,6000.0,0.0,12.0,0.0,,,2024-07-31 11:33:41.293,,2024.0
11,a2a9c429-d98f-4b33-ba24-e710f575bf55,23007142,2023-12-17 08:54:05,08:00,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,,AGAWAM,Initial-Ongoing,Other,,,Other,Connecticut River,,,,,,,2023-12-17 09:01:09.527,,2023.0
12,740c9c0f-8f3c-4ea5-87ea-9198227d6aea,23005832,2023-09-11 09:05:31,18:45,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,,SPRINGFIELD,Initial-Ceased,Other,,,Other,Chicopee River,,,,,,,2023-09-12 09:09:48.700,,2023.0
13,72d239e6-0fae-43e8-8168-24ef6715bf6d,23005833,2023-09-11 09:05:31,18:45,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,,SPRINGFIELD,,Other,,,Other,Chicopee River,508000.0,3.94,1.0,19.0,,,2023-09-12 09:13:12.170,,2023.0
14,eb8ef002-35a3-4215-9493-586f70ecce94,25012159,2025-01-28 05:00:00,18:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,,BILLERICA,Initial-Ceased,Other,,,Other,"Manhole in front of 22 Christina Ave, catch basin in area however no evidence that wastewater went to the catch basin, will inspect",,,,,,Blockage in gravity line caused by FOG and other accumulated solids.  The wastwater division was there within an hour with a vac truck and relieved blockage.  Manhole was overflowing and was observed by residents.  There is a catch basin in the area.  No evidence of wastewater going into the catch basin.  Will do follow up inspection.,2025-02-04 07:44:21.647,,2025.0
15,d0606c92-1dd1-4d2d-8a7e-6933c01e3200,25012694,2025-04-03 14:10:24,07:30,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,,BILLERICA,Initial-Ceased,Other,,,Other,"Drainage running along Lowell St., opposite of Canal, starting at Franklin",,,,,,"SSO was ended within hour of discovery, Town Vac Truck along with contracted Pumpers intercepted flow until bypass pumping was set up",2025-04-10 10:15:08.787,,2025.0
16,f68b4a26-f8b4-418b-b284-2ad6603c9bf8,23005588,2023-08-19 08:39:40,06:30,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,,BILLERICA,Initial-Ceased,Other,,,Other,Near Nutting Lake - Catch Basins in area feed it,,,,,,,2023-08-21 09:02:04.843,,2023.0
17,b1fc4ffe-e020-45e6-a6af-fecfc9d9ae6f,25012695,2025-04-03 14:10:24,07:30,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,,BILLERICA,,Other,,,Other,"Drainage on Lowell St, opposite the canal starting at Franklin and running down to Nussey",1000.0,0.0,1.0,0.0,,,2025-04-10 10:19:04.670,,2025.0
18,584d69c6-7732-40aa-9efe-b546aec5633c,23005619,2023-08-19 08:41:05,06:30,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,,BILLERICA,,Other,,,Other,"Nutting Lake was body of water in area, catch basins feed that lake",20000.0,0.0,12.0,0.0,,,2023-08-22 08:53:01.820,,2023.0
19,19c90858-3c90-4d5a-981a-d0dd079b5a38,23002682,2023-03-15 09:04:39,07:30,,Public Notification Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,ROCKLAND WASTEWATER TREATMENT FACILITY,MA0101923,,ROCKLAND,Initial-Ongoing,Other,42.1076,-70.8992,Other,French's Stream,,,,,,,2023-03-17 09:17:14.950,,2023.0
20,1bf5e4fb-d9c5-45dc-98d5-8bbe0a750d2a,23002682-1,2023-03-15 08:43:55,07:30,,Verified Data Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,ROCKLAND WASTEWATER TREATMENT FACILITY,MA0101923,,ROCKLAND,,Other,42.1076,-708992.0,Other,French's Stream,1812515.0,3.26,43.0,30.0,,,2023-03-17 09:25:23.473,,2023.0
21,f7c9a844-a3c5-40cf-9c26-5d93844e6371,23002628-4,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-15 16:39:49.457,,2023.0
22,b15910c6-d538-4084-a1db-470fd3d6f283,23007074,2023-01-26 00:00:00,07:30,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Powwow River,43380.0,1.56,15.0,0.0,,,2023-12-12 08:16:33.823,,2023.0
23,7df2950a-edc9-4804-9c3a-6845a91b0aa8,26015597,2026-01-28 00:00:00,08:30,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Surface only,5000.0,0.0,1.0,45.0,,"Upon discovery of the reported water leak it was determined that the water on the roadway was wastewater. The Sewer division was able to clear the blockage in the main, causing the leak of water to stop. A thorough cleaning of the main line was done and conditions are now normal.  City ids scheduling a TV inspection of the line to confirm condition.",2026-01-28 11:50:57.927,,2026.0
24,e7b641a8-cf2d-43eb-b46e-6df2811cf7d4,23005528-1,2023-08-18 14:25:13,14:30,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Merrimac River,,,,,,,2023-08-18 17:34:58.777,,2023.0
25,bfcaa541-49c0-42cd-a151-6dfeab0b2b17,23007077,2023-03-14 00:00:00,08:40,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Powwow River,346105.0,3.0,44.0,6.0,,,2023-12-12 08:49:14.420,,2023.0
26,59fb0a4b-3719-4468-9692-6ffe7729a411,23005540,2023-08-18 14:25:13,14:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,,,Other,Powwow River,2500.0,3.5,1.0,30.0,,,2023-08-18 15:25:03.100,,2023.0
27,be665be9-f731-41b0-83ca-7afbcffcb414,24007470,2024-01-10 10:03:48,08:15,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ceased,Other,,,Other,Back River,,,,,,SSO occured for  an estimated 20 min and was due to surcharging of downstream manholes due to Jan.9-10 rain event,2024-01-10 10:09:44.297,,2024.0
28,24d57c32-8a5f-4862-82d5-0bc11ac33dd8,23006159,2023-09-19 02:20:46,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,,,Other,Powwow River,,,,,,,2023-09-19 02:28:13.890,,2023.0
29,2db82c41-fed0-4cc9-8b3f-0d6ef489e735,23002978-1-1,2023-05-01 03:13:18,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Powwow River,,,,,,"Event lasted 16 hours and totalled an estimated 30,000 gallons",2023-05-01 18:07:39.993,,2023.0
30,f15c4e34-697e-4b1f-b5ab-0434e753c222,23002978-1,2023-05-01 03:13:18,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-05-01 10:01:10.950,,2023.0
31,e7b1e882-9c1e-44ac-8cdf-0516ed6acca1,23002359,2023-02-01 14:14:40,12:50,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ceased,Other,,,Other,Surface only,,,,,,This SSO was estimated at < 200 gallons,2023-02-01 14:18:47.197,,2023.0
32,b8ea2a80-633c-45bf-acb3-0525dccc6ccc,23002276-1,2023-01-26 07:25:39,16:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,This is our first 8 hour notification the overflowinf manhole of concern is being monitored every hour so that we can notify when this overflow ends,2023-01-26 16:12:14.023,,2023.0
33,7632698d-c2cc-4a50-9890-06e5025c35b5,24011486,2024-10-17 14:20:44,13:00,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,4285765.0,7093089.0,Other,Powwow River,,,,,,SSO is caused by a broken sewer main running through a stone archway underneath downtown. Repairs are underway.,2024-10-17 14:34:59.783,,2024.0
34,fdb232ce-acfe-47eb-a05f-17c30c49fecd,23007082,2023-09-19 00:00:00,02:00,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Powwow River,57690.0,3.1,9.0,45.0,,,2023-12-12 09:12:33.167,,2023.0
35,ade83081-719a-4f27-bc5f-197c1896ad6f,23002276,2023-01-26 07:25:39,07:30,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,,,Other,Powwow River ,,,,,,The remedy for this SSO is under contract. At the time of this report the last few administrative items are being concluded. As soon as that is done we are told that construction is to be scheduled,2023-01-26 09:05:19.200,,2023.0
36,8e00384b-90b3-42d7-bb5c-2cbe79c372a4,23002628-6,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Powwow River,,,,,,,2023-03-16 07:16:56.553,,2023.0
37,cd6a73c9-41ee-4d20-8b7f-26fa133d4cf0,24011487,2024-10-17 14:20:44,13:00,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,4285765.0,7093089.0,Other,Powwow River,1500.0,0.0,5.0,0.0,,"SSO is caused by a broken sewer main running through a stone archway underneath downtown. Repairs are underway. Update: at 6:00 pm the repair was completed and the SSO ceased. The City has scheduled the installation of a liner on Tuesday 10/22/24. The area to be lined has been cleaned and televised. Final reporting will take place after the liner is in place. Update 10/22/24: work began on a final repair at 8:00am and a liner was installed by New England Pipe Restoration, that encompassed not only the but the entire area from the upstream manhole to the downstream manhole.  All repairs were finished by 3:00pm and were both televised and visually dye inspected.   
",2024-10-22 16:03:04.137,,2024.0
38,ac257ecc-1c4c-44c5-8b13-22e675cd5804,23002628,2023-03-14 08:43:16,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-14 09:04:15.357,,2023.0
39,32abc770-488f-4fe0-b387-3b288a0656c5,24011486-1,2024-10-17 14:20:44,13:00,,Public Notification Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,4285765.0,7093089.0,Other,Powwow River,,,,,,"SSO is caused by a broken sewer main running through a stone archway underneath downtown. Repairs are underway. Update: at 6:00 pm the repair was completed and the SSO ceased. The City has scheduled the instllation of a liner on Tuesday 10/22/24. The area to be lined has been cleaned and televised. Final reporting will take place after the liner is in place.
",2024-10-17 18:54:00.847,,2024.0
40,ee2c6af2-5a6c-481e-8ff8-41db0e91a5ee,23002628-5,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-16 00:32:38.700,,2023.0
41,6974d9f3-e7ad-4414-bd68-91798d5dfaf3,23002276-1-1,2023-01-26 22:56:01,22:30,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Powwow River,,,,,,,2023-01-26 23:01:08.590,,2023.0
42,4df0edaf-fd8c-4a9e-ada6-a7ef1f3968e1,23002628-3,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-15 08:38:03.620,,2023.0
43,4c637235-52cb-4bcb-8d94-9ca0179b93ec,23007081,2023-08-18 00:00:00,14:00,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Powwow River,5000.0,3.6,4.0,0.0,,,2023-12-12 09:07:03.250,,2023.0
44,0e8f0cc2-716a-4e89-a48a-9cb6784bd385,23005540-1,2023-08-18 14:25:13,14:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Powwow River,,,,,,,2023-08-18 18:33:51.707,,2023.0
45,43023208-0765-4395-b9e3-b94fff6f1077,23007078,2023-05-01 00:00:00,03:00,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Powwow River,30000.0,2.08,16.0,0.0,,,2023-12-12 08:55:05.633,,2023.0
46,6f560925-335a-4213-999b-bbd2db7fbae4,23005528,2023-08-18 14:25:13,14:30,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ongoing,Other,42.83845,70.92769,Other,Merrimac River,,,,,,,2023-08-18 14:42:36.743,,2023.0
47,a0f16c8f-c694-4ffa-bddf-aaa6cf83d86b,23002628-1,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-14 16:55:57.200,,2023.0
48,bbc915f0-9959-47a9-87aa-adc9913c470f,23002978,2023-05-01 03:13:18,02:15,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ceased,Other,,,Other,Powwow River,,,,,,,2023-05-01 03:18:50.900,,2023.0
49,2f38f1b2-4363-4dc5-87ee-ad849e9af18e,23007076,2023-02-01 00:00:00,12:50,,Verified Data Report,SSO – Failure of Pump Station or Associated Force Main,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Ground,200.0,0.3,0.0,30.0,,,2023-12-12 08:32:04.270,,2023.0
0,b562ee60-2369-4ba8-b5ea-af5fc9b7dad4,24007511,2024-01-10 11:03:31,08:15,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,,Other,,,Other,Back River,1000.0,2.5,0.0,20.0,,,2024-01-10 11:07:47.620,,2024.0
1,8f4aa07d-c83c-4eb2-9c79-b74c7173b8d4,23006159-1,2023-09-19 02:20:46,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-09-19 09:53:24.770,,2023.0
2,ea8e0f50-5570-4d61-a6ce-cffe32688ad9,23006159-2,2023-09-19 02:20:46,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ceased,Other,,,Other,Powwow River,,,,,,,2023-09-19 13:10:36.693,,2023.0
3,a3c11b21-cb89-4797-9366-eafe54fc8f37,26015596,2026-01-28 00:00:00,08:30,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Initial-Ceased,Other,455214.0,705730.0,Other,Surface only,,,,,,"Upon discovery of the reported water leak it was determined that the water on the roadway was wastewater. The Sewer division was able to clear the blockage in the main, causing the leak of water to stop. A thorough cleaning of the main line was done and conditions are now normal. ",2026-01-28 11:46:21.437,,2026.0
4,53b7281c-e8a2-4512-ae79-e4aae89acf1b,23002628-2,2023-03-14 16:49:41,08:40,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,,2023-03-15 00:52:39.910,,2023.0
5,43c7b0de-0859-4b0b-849e-f2474240b382,23002978-2,2023-05-01 03:13:18,02:00,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,AMESBURY WATER POLLUTION ABATEMENT PLANT,MA0101745,,AMESBURY,Ongoing,Other,,,Other,Powwow River,,,,,,This is a follow up to the previous report whhich came up as ceased not ongoing. This is an 8 hour update.,2023-05-01 10:32:50.693,,2023.0
6,78c86279-b8c2-496f-83d6-957fe5f17b07,23006995,2023-12-11 09:10:05,07:28,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,SOUTH ESSEX SEWERAGE DISTRICT,MA0100501,,MARBLEHEAD,Initial-Ceased,Other,,,Other,catch basin to Marblehead Harbor,,,,,,,2023-12-11 13:44:40.420,,2023.0
7,e1f521e6-55ef-4644-876b-3c10d69ab475,24007598,2024-01-10 15:18:47,06:47,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,MARBLEHEAD WATER/SEWER DEPARTMENT,,,MARBLEHEAD,Initial-Ceased,Other,,,Other,Massachusetts Bay,,,,,,MA0100501 (co-permittee),2024-01-10 16:51:26.070,,2024.0
8,50f622fc-4c6b-40b5-a15e-0356cca866c9,24008057,2024-01-10 00:00:00,06:47,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,SOUTH ESSEX SEWERAGE DISTRICT,MA0100501,,MARBLEHEAD,,Other,,,Other,Massachusetts Bay,326400.0,2.64,6.0,58.0,,Initial-Ceased report submitted 1/10/2024. Incident # 24007598,2024-02-14 09:18:40.367,,2024.0
9,5916851b-681a-448f-b8ae-7f967c742f97,24007456,2024-01-10 08:17:33,06:38,,Public Notification Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,SOUTH ESSEX SEWERAGE DISTRICT,MA0100501,,MARBLEHEAD,Initial-Ceased,Other,,,Other,catch basin to Hawthorne Pond,,,,,,,2024-01-10 11:58:29.950,,2024.0
10,a9b88f69-b567-4c04-9965-500f6be07baf,23006995-1,2023-12-11 10:20:04,07:28,,Verified Data Report,SSO – System Surcharging Under High Flow Conditions,Non-CSO,SOUTH ESSEX SEWERAGE DISTRICT,MA0100501,,MARBLEHEAD,,Other,,,Other,"catch basin to Hawthorne Pond, Marblehead",4800.0,2.16,0.0,32.0,,"Original notification had catch basin to Marblehead Harbor, as stated in verification, it is catch basin to Hawthorne Pond, Marblehead ",2023-12-14 10:29:07.943,,2023.0
11,1d97fe0a-a3a3-4b92-b955-464fb7b6543a,24007658,2024-01-10 13:41:01,08:25,,Public Notification Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,UPTON WASTEWATER TREATMENT FACILITY,MA0100196,,UPTON,Initial-Ongoing,Other,,,Other,Unnamed Tributary,,,,,,,2024-01-11 13:39:58.603,,2024.0
12,ac9588f4-f772-4a11-b517-260326f12280,26015716,2026-03-10 00:00:00,02:00,,Public Notification Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,UPTON WASTEWATER TREATMENT FACILITY,MA0100196,,UPTON,Initial-Ceased,Other,,,Other,Unnamed tributary of the West River,,,,,,"Tuesday 3/10/26 at approx 1:30 am I received an alarm via SCADA/Win911 for effluent filter.  I responded and arrived at the WWTP at approx 1:45am.  I found our effluent sand filters to be overwhelmed with effluent and solids from our clarifiers.  I shut down the air to the aeration tanks to settle out the solids,  then shut down backwash pumps for sand filters, closed one side of our contact tanks and opened the other which was empty at the time for cleaning to trap solid overflow, and then opened bypass valve approx 1/4 open to get flow levels under control.  Wasting was increased.  High flows most likely due to .83 of rain Friday 3/6 and high temps melting 3+ feet of snow.  Solids where contained to contact tank.  Air was restored to aeration process by 6am 3/10.  Additional wasting continued to restore sludge blanket levels in clarifiers.  Bypass remained approx 1/4 open 3/10, 3/11 started closing slowly 3/12 and closed completely 3/13 at 10:20am.  Public notifications where made Wednesday 3/11 in the morning,  along with trying to gain access to Sewage overflow system through Ma Dep.",2026-03-13 12:50:01.710,,2026.0
13,0368f500-b357-486c-b6b3-ec7a75faa924,24007671,2024-01-10 09:39:49,08:25,,Verified Data Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,UPTON WASTEWATER TREATMENT FACILITY,MA0100196,,UPTON,,Other,,,Other,Unnamed Tributary,200000.0,3.02,29.0,0.0,,,2024-01-12 09:38:39.087,,2024.0
14,a3f73d4f-b5f2-47fe-ba37-fcfcd0cd221c,24007386,2023-12-18 00:00:00,11:45,,Verified Data Report,SSO – Discharge Through Wastewater Outfall,Non-CSO,UPTON WASTEWATER TREATMENT FACILITY,MA0100196,,UPTON,,Other,,,Other,Unnamed Tributary,250000.0,4.88,49.0,30.0,,,2024-01-03 08:44:12.197,,2023.0
