,bill_number,general_court,bill_title,bill_id,env_relevance_score,is_environmental,cluster_id,summary,categories,tags,is_env_llm,is_environmental_embedding
22,109,194,An Act protecting our soil and farms from PFAS contamination,H109,0.1135308146476745,1,9,"This bill would protect farmers from lawsuits if their soil, water, or crops are contaminated with PFAS chemicals due to standard farming practices. If passed, it would also create an Agricultural PFAS Relief Fund to help farmers who experience financial losses or incur costs because of PFAS contamination. This fund would support testing, business adaptations, educational resources, health needs, and remediation efforts related to PFAS.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Water quality"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Food industry and services""]",True,1
23,4288,193,An Act protecting our soil and farms from PFAS contamination,H4288,0.1130177974700927,1,8,"This bill would protect farmers from lawsuits if their soil, water, or crops are contaminated with PFAS chemicals due to standard farming practices. If passed, it would also create an ""Agricultural PFAS Relief Fund"" to help farmers cover costs associated with PFAS testing, business disruptions, remediation, and educational resources. The fund would also support the development of PFAS testing capabilities at UMass Amherst.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Soil pollution"", ""Water quality"", ""Hazardous wastes and toxic substances"", ""Food supply, safety, and labeling"", ""Food industry and services""]",True,1
24,1003,194,An Act relative to maintaining adequate water supplies through effective drought management,H1003,0.1113338470458984,1,4,"If passed, this bill would establish a permanent drought management task force composed of various state agency heads and water-related organizations. This task force would be responsible for collecting data, coordinating responses, and recommending drought levels and actions to state leadership. The bill would also require the task force to maintain and regularly update a statewide drought management plan to ensure preparedness and protect public health and the environment. Additionally, it would grant the Secretary the authority to mandate water conservation measures, such as limiting outdoor water use, in drought-affected regions.","[""Environmental Protection"", ""Public and Natural Resources""]","[""Water quality"", ""Water resources"", ""Environmental assessment, monitoring, research"", ""Environmental regulatory procedures""]",True,1
25,586,194,An Act relative to maintaining adequate water supplies through effective drought management,S586,0.1113338470458984,1,14,"If passed, this bill would establish a permanent drought management task force composed of various state agency heads and water-related organizations. This task force would be responsible for collecting data, coordinating responses, and recommending drought levels and actions to state leadership. The bill would also require the task force to maintain and regularly update a statewide drought management plan to ensure preparedness and protect public health and the environment. Additionally, it would grant the Secretary the authority to mandate water conservation measures, such as limiting outdoor water use, in drought-affected regions.","[""Environmental Protection"", ""Public and Natural Resources""]","[""Water quality"", ""Water resources"", ""Environmental assessment, monitoring, research"", ""Environmental regulatory procedures""]",True,1
26,5219,194,An Act relative to maintaining adequate water supplies through effective drought management,H5219,0.1110567450523376,1,14,"This bill would establish a drought management task force within the state government, composed of various agency heads and water-related organizations. The task force would be responsible for collecting and assessing technical information, coordinating communication, and recommending drought levels and responses to the Secretary of Energy and Environmental Affairs, the Secretary of Public Safety and Security, and the Governor. If passed, the bill would also require the task force to maintain and periodically update a statewide drought management plan to protect public health, safety, and the environment, ensuring preparedness and response protocols are in place.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental assessment, monitoring, research"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
27,2115,190,An Act relative to drought management,H2115,0.1107658147811889,1,22,"This bill would establish a drought management task force within the state government. If passed, this task force would be responsible for creating and updating a comprehensive drought management plan, which would include defining drought levels, appropriate responses, and communication strategies. The Secretary would also gain the authority to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions to protect public health, safety, and the environment. Cities and towns would be required to enforce these state-mandated water conservation restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
28,817,193,An Act providing access to higher education for high school graduates in the Commonwealth,H817,0.1103137731552124,1,3,"This bill would prohibit the creation of new landfills, monofills, or ash landfills in or next to areas designated as Areas of Critical Environmental Concern. If passed, it would also prevent the expansion of any existing landfills in these environmentally sensitive areas. The intent is to protect critical natural environments from the impacts of waste disposal.","[""Environmental Protection""]","[""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Hazardous wastes and toxic substances""]",True,1
29,529,193,An Act relative to solid waste disposal facilities in environmental justice communities,S529,0.1098231673240661,1,22,"This bill would require the state environmental agency to create new regulations specifically for solid waste disposal facilities located in environmental justice communities. If passed, these regulations would impose significant monetary fines for permit violations, with penalties increasing for repeat offenses. The bill would also allow for the revocation of permits for facilities that consistently violate their terms, aiming to reduce the environmental burden on these communities.","[""Environmental Protection""]","[""Solid waste and recycling"", ""Environmental regulatory procedures"", ""Environmental health"", ""Pollution control and abatement""]",True,1
30,914,193,An Act relative to solid waste disposal facilities in environmental justice communities,H914,0.1098231673240661,1,9,"This bill would require the state's environmental agency to create new regulations specifically for solid waste disposal facilities located in environmental justice communities. If passed, these regulations would impose significant monetary fines for permit violations, with penalties increasing for repeat offenses. The bill would also allow for the revocation of permits for facilities that consistently violate their terms, aiming to enhance environmental protection in these communities.","[""Environmental Protection""]","[""Environmental regulatory procedures"", ""Solid waste and recycling"", ""Pollution control and abatement""]",True,1
31,5036,193,An Act facilitating wetland restoration,H5036,0.1090697050094604,1,19,"This bill would make it easier to restore wetlands across the state. If passed, it would streamline the processes involved in wetland restoration projects, potentially leading to more successful efforts to rehabilitate these important natural areas. The policy intent is to enhance environmental protection and biodiversity by removing barriers to wetland recovery. This could result in improved water quality and habitat for wildlife.","[""Environmental Protection"", ""Public and Natural Resources""]","[""Wetlands"", ""Environmental regulatory procedures"", ""Water quality"", ""Marine and coastal resources, fisheries""]",True,1
32,383,188,"SB383, An Act incorporating wetland stewardship and scenic resources into wetland protection. We tracked the status of this bill using Insta-Trac, a tracking service, but did not have any contact with legislators or government officials in regard to this bill.",S383,0.1079468727111816,1,0,"If passed, this bill would update the definitions of various types of wetlands, such as bogs, marshes, swamps, and wet meadows, to be more precise and scientifically based. It would also define ""access"" and ""water access"" in the context of these areas. The bill's intent is to encourage landowners and managers to use science-based practices to protect and enhance wetlands and open waters, thereby safeguarding public and private water supplies, controlling floods, preventing pollution, and preserving fisheries and wildlife habitats.","[""Environmental Protection"", ""Public and Natural Resources""]","[""Wetlands"", ""Water quality"", ""Environmental assessment, monitoring, research"", ""Water resources"", ""Marine and coastal resources, fisheries""]",True,1
33,425,190,An Act relative to drought management,S425,0.106468379497528,1,14,"If passed, this bill would establish a drought management task force within a state office. This task force would be responsible for developing and updating a comprehensive drought management plan, which would include defining drought levels, appropriate responses, and communication strategies. The bill would also empower the secretary to order uniform water conservation measures, such as limits on outdoor water use, across drought-affected regions to protect public health, safety, and the environment. Cities and towns would be required to enforce these state-mandated water conservation restrictions.","[""Environmental Protection"", ""Emergency Management""]","[""Water quality"", ""Environmental regulatory procedures"", ""Hazards and emergency operations"", ""Emergency planning and evacuation""]",True,1
34,4570,192,An Act Building Environmental Justice and Energy Efficiency with Jobs.,H4570,0.1054062843322753,1,14,"This bill would establish a program to promote energy efficiency and clean energy development in communities that have historically been disproportionately affected by environmental pollution and climate change. If passed, it would create job opportunities in these communities by funding projects that improve energy efficiency in homes and businesses, and that develop renewable energy sources. The bill aims to address environmental inequities and contribute to a cleaner energy future for all residents.","[""Environmental Protection"", ""Energy""]","[""Environmental health"", ""Pollution control and abatement"", ""Energy efficiency and conservation"", ""Renewable energy sources""]",True,1
35,4008,191,An Act relative to air monitoring stations,H4008,0.1031404733657836,1,22,"This bill would require the state to establish and maintain a comprehensive network of air monitoring stations across Massachusetts. If passed, it would enhance the ability to collect data on air quality, which could inform public health decisions and environmental regulations. The policy intent is to provide more accurate and localized information about air pollution levels for residents and policymakers.","[""Environmental Protection""]","[""Air quality"", ""Environmental assessment, monitoring, research"", ""Pollution control and abatement""]",True,1
36,446,190,An Act to promote healthy communities and the environment,H446,0.1008340120315551,1,0,"This bill would require the Department of Environmental Protection to promote the use of advanced technologies, specifically pyrolysis and gasification, to convert non-recycled plastics into alternative fuels and other useful products. If passed, it would aim to reduce the amount of plastic waste sent to landfills by encouraging the development and operation of facilities that utilize these innovative conversion processes. The bill defines key terms like ""gasification"" and ""post-use plastics"" to clarify the scope of these technologies.","[""Environmental Protection"", ""Energy""]","[""Solid waste and recycling"", ""Pollution control and abatement"", ""Energy research"", ""Renewable energy sources""]",True,1
37,4571,192,An Act building environmental justice and energy efficiency with jobs,H4571,0.1005505323410034,1,19,"This bill would promote environmental justice and energy efficiency initiatives across the state. If passed, it would aim to create jobs in these sectors, potentially benefiting communities disproportionately affected by environmental pollution. The policy intent is to address environmental inequities while simultaneously fostering economic growth through green employment opportunities.","[""Environmental Protection"", ""Energy""]","[""Environmental health"", ""Environmental regulatory procedures"", ""Energy efficiency and conservation"", ""Renewable energy sources""]",True,1
38,788,193,An Act protecting public drinking water by further regulating solid waste disposal facilities,H788,0.0951539278030395,1,19,"This bill would enhance protections for public drinking water sources by implementing stricter regulations on solid waste disposal facilities. If passed, it would likely impose new standards for the design, operation, and monitoring of landfills and other waste sites to prevent contamination of water supplies. The policy intent is to safeguard public health by ensuring the purity of drinking water, and its impact would be a reduction in potential water pollution risks from solid waste.","[""Environmental Protection""]","[""Solid waste and recycling"", ""Water quality"", ""Pollution control and abatement"", ""Environmental regulatory procedures""]",True,1
39,936,194,An Act protecting public drinking water by further regulating solid waste disposal facilities,H936,0.0951539278030395,1,19,"This bill would enhance protections for public drinking water sources by implementing stricter regulations on solid waste disposal facilities. If passed, it would likely impose new standards for the design, operation, and monitoring of landfills and other waste sites to prevent contamination of water supplies. The policy intent is to safeguard public health by ensuring the purity of drinking water, and its impact would be a reduction in potential water pollution risks from solid waste.","[""Environmental Protection""]","[""Solid waste and recycling"", ""Water quality"", ""Pollution control and abatement"", ""Environmental regulatory procedures""]",True,1
40,698,188,An Act relative to best management practices in water,H698,0.0944081544876098,1,0,"This bill would require the Department of Environmental Protection (DEP) to review and approve local wetlands ordinances or by-laws before they can be adopted by a municipality. The DEP would need to find that the proposed local regulations have a scientific basis, are considered best management practices, and are necessary for unique local resources. If passed, existing local wetlands ordinances would also need DEP approval within one year to remain enforceable.","[""Environmental Protection""]","[""Wetlands"", ""Environmental regulatory procedures"", ""Water quality"", ""Environmental assessment, monitoring, research""]",True,1
41,829,191,An Act to promote healthy communities and the environment,H829,0.093121588230133,1,19,"This bill would require the Department of Environmental Protection to promote the use of pyrolysis and gasification technologies to convert non-recycled plastics into alternative fuels and other products, thereby diverting them from landfills. It would also mandate a study by the Department to identify cost-effective ways to use these and other innovative technologies, such as engineered fuels, to convert post-use plastics into energy, fuels, or chemical feedstocks. If passed, this legislation would aim to reduce plastic waste in landfills and encourage the development of new methods for plastic recycling and reuse.","[""Environmental Protection"", ""Energy""]","[""Solid waste and recycling"", ""Hazardous wastes and toxic substances"", ""Pollution control and abatement"", ""Renewable energy sources"", ""Energy research""]",True,1
42,1315,191,An Act relative to chemicals in food packaging,S1315,0.0930821299552917,1,2,"This bill, if passed, would prohibit the manufacture, sale, or distribution of food packaging containing intentionally added perfluoroalkyl and polyfluoroalkyl substances (PFAS) in Massachusetts, starting January 1, 2020. The intent is to reduce residents' exposure to these persistent chemicals, which are used in food packaging to resist grease and fats. This would impact the food packaging industry and consumers by ensuring safer packaging alternatives are used.","[""Environmental Protection"", ""Food, Drugs and Alcohol""]","[""Hazardous wastes and toxic substances"", ""Pollution control and abatement"", ""Food supply, safety, and labeling"", ""Environmental health""]",True,1
43,2146,190,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,H2146,0.0929169654846191,1,15,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
44,521,191,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,S521,0.0929169654846191,1,4,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
45,560,193,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,S560,0.0929169654846191,1,14,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
46,754,189,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,H754,0.0929169654846191,1,14,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
47,477,190,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,S477,0.0929169654846191,1,14,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
48,604,192,An Act establishing tracking and reporting requirements for Massachusetts transportation fuels and associated greenhouse gas emissions,S604,0.0929169654846191,1,14,"This bill would require the Department of Environmental Protection to create regulations for tracking and reporting transportation fuel sales in Massachusetts. If passed, fuel producers, importers, and wholesale distributors would need to report their sales and fuel sources to the department. The department would then calculate and track the greenhouse gas emissions and carbon intensity of these fuels, publishing this data in an annual public report. This would provide transparency on the environmental impact of transportation fuels in the state.","[""Environmental Protection"", ""Energy""]","[""Environmental assessment, monitoring, research"", ""Pollution control and abatement"", ""Air quality"", ""Energy efficiency and conservation"", ""Energy storage, supplies, demand""]",True,1
49,2009,191,An Act to reduce greenhouse gas emissions,S2009,0.0920705795288086,1,14,"This bill would amend existing law to broaden the definition of ""direct emissions"" to include emissions from transportation, buildings, and industrial processes. If passed, it would also introduce the concept of ""greenhouse gas-emitting priorities,"" which are fuels like natural gas, petroleum, and coal. The bill would redefine ""market-based compliance mechanisms"" to include pricing systems directly on these priority fuels or their distribution, aiming to reduce statewide greenhouse gas emissions. Ultimately, it would establish new statewide greenhouse gas emissions limits for 2030 and 2040, with the goal of maximizing the state's ability to meet the 2050 emissions limit.","[""Environmental Protection"", ""Energy""]","[""Air quality"", ""Pollution control and abatement"", ""Renewable energy sources"", ""Energy efficiency and conservation""]",True,1
50,730,188,An Act providing for more efficient wetlands protection by avoiding unnecessary duplication in local wetlands ordinances or bylaws,H730,0.0907990932464599,1,9,"This bill would limit the ability of local conservation commissions to enforce local wetlands ordinances or bylaws. If passed, local wetlands protections would only be enforceable if they are stricter than state regulations and are approved by the Department of Environmental Protection. The Department would need to find that the local ordinance has a scientific basis, is a best management practice, and is necessary for unique local resources. Existing local wetlands ordinances would also need this state approval within one year to remain enforceable.","[""Environmental Protection"", ""Government Operations and Politics""]","[""Wetlands"", ""Environmental regulatory procedures"", ""Municipality Oversight"", ""Government studies and investigations""]",True,1
