,cso_id,latitude,longitude,DischargeVolume,Year,permiteeClass,permiteeName,permiteeId,municipality,location,waterBody,waterBodyDescription,DischargeCount,GEOID
45,FAL005,41.690336,-71.185249,0.136616,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,RIVERVIEW,MOUNT HOPE BAY,,1,250056405004
46,FAL006,41.696658,-71.178289,1.305104,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,MIDDLE ST,MOUNT HOPE BAY,,6,250056405004
47,FAL007,41.699565,-71.172644,0.260132,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,WILLIAM ST,MOUNT HOPE BAY,,7,250056405004
48,FAL008,41.701428,-71.170559,0.647889,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,FERRY ST,MOUNT HOPE BAY,,11,250056405004
49,FAL009,41.704029,-71.160203,0.354168,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CENTRAL ST AT INTERSECTION W VIADUCT,QUEQUECHAN RIVER,,5,250056410001
50,FAL010,41.71189,-71.158988,24.578183,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CITY PIER,TAUNTON RIVER,,77,250056420003
51,FAL011,41.717913,-71.159136,82.942566,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,PRESIDENT AVE,TAUNTON RIVER,,83,250056420002
52,FAL013,41.726459,-71.148766,95.549598,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,COVE ST,TAUNTON RIVER,,67,250056421001
53,FAL014,41.73327,-71.140707,21.662245,2022,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,ALSTON ST,TAUNTON RIVER,,39,250056421001
54,FAL019,41.701589,-71.162728,3.306947,2023,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CANAL ST,QUEQUECHAN RIVER,,7,250056410001
55,FIT010,42.587007,-71.808857,0.886061,2022,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST. @ RIVER ST.,NASHUA RIVER,,13,250277108003
56,FIT032,42.585697,-71.806321,0.577962,2022,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,843 MAIN ST. @ POST OFFICE,NASHUA RIVER,,26,250277108003
57,FIT041,42.562556,-71.772891,0.006,2023,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,BENSON RD. NEAR FALULAH ST.,ABANDONED FALULAH CANAL,,1,250277101002
58,FIT045A,42.581822,-71.798441,0.665586,2022,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST @ PUTNAM ST. (A),PUNCH BROOK CULVERT @ BOULDER DRIVE VIA PUTNAM ST.,,13,250277107002
59,FIT045B,42.581822,-71.798389,0.889001,2023,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST @ PUTNAM ST (B),PUNCH BROOK CULVERT@BOULDER ST VIA MAIN ST,,15,250277107002
60,FIT064,42.571099,-71.784339,1.842268,2023,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,CHAMBER BEHIND 672 WATER ST.,NASHUA RIVER,,9,250277101003
61,FIT076,42.57429,-71.79102,0.012,2023,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,BIRCH ST @ HEYWOOD ST,BIRCH BROOK @ HEYWOOD ST,,4,250277102004
62,FIT083,42.581848,-71.798421,0.125478,2022,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST. @ PRICHARD ST.,PUNCH BROOK CULVERT @ MAIN ST.,,12,250277107002
63,GLO004,42.611018,-70.664209,0.051,2023,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,ROGERS STREET,HARBOR COVE,,1,250092215002
64,GLO006A,42.61637,-70.650943,0.054,2023,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,EAST MAIN STREET,INNER HARBOR,,3,250092214003
65,GLSD002,42.704034,-71.15023,3.5837,2022,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,MERRIMACK STREET,MERRIMACK RIVER,,5,250092516001
66,GLSD004,42.706106,-71.146873,23.52,2023,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,ISLAND STREET,MERRIMACK RIVER,,7,250092501001
67,GLSD006,42.7093,-71.151468,0.48,2022,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,GENERAL STREET GENERAL HOSPITAL,SPICKETT HARBOR,,1,250092509002
68,HAV013,42.769997,-71.064229,4.151814,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, LOWER SIPHON BUTTONWOOD AVE,MERRIMACK RIVER,,4,250092603012
69,HAV021A,42.77304,-71.081938,3.546548,2022,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, MIDDLE SIPHON ESSEX ST,MERRIMACK RIVER,,9,250092601002
70,HAV021F,42.775169,-71.08493,4.09269,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,LOCKE STREET CENTER BARRELL,LITTLE RIVER,,33,250092601003
71,HAV021H,42.777457,-71.088301,1.34273,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,WINTER AND HALE,LITTLE RIVER,,19,250092607001
72,HAV024,42.766809,-71.09336,1.374727,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, VARNUM ST UPPER SIPHON,MERRIMACK RIVER,,2,250092608002
73,HAV032,42.770152,-71.085417,0.114021,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, BRADFORD AVE,MERRIMACK RIVER,,3,250092610002
74,HAV034,42.772602,-71.078221,1.920006,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, MIDDLESEX STREET,MERRIMACK RIVER,,12,250092610002
75,HAV039,42.769144,-71.065457,0.047821,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,SOUTH WEBSTER,MERRIMACK RIVER,,5,250092611011
76,HAV040,42.774515,-71.074239,0.168831,2022,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,BETHANY AVE,MERRIMACK RIVER,,13,250092602002
77,HAV041,42.773933,-71.071544,0.093827,2023,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,CHESTNUT ST,MERRIMACK RIVER,,13,250092602002
78,HOL016,42.203926,-72.60776,0.479372,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,FRONT ST./APPLETON ST.,CONNECTICUT R.,,13,250138116002
79,HOL018,42.214004,-72.608673,60.644105,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,WALNUT ST.,CONNECTICUT R.,,64,250138117001
80,HOL019,42.219601,-72.613101,0.059533,2022,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,YALE ST.,CONNECTICUT R.,,22,250138119001
81,HOL02,42.167524,-72.630165,0.084333,2022,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,PROVIDENCE HOSPITAL,CONNECTICUT R.,,19,250138121032
82,HOL020,42.225812,-72.6176,12.741528,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,CLEVELAND ST.,CONNECTICUT R.,,58,250138119001
83,HOL021,42.229172,-72.623898,10.399942,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,RIVER TERRACE,CONNECTICUT R.,,53,250138119001
84,HOL023,42.221142,-72.623744,0.64469,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,JEFFERSON ST.,DINGLE BK TO CONNECTICUT R.,,30,250138119002
85,HOL07,42.186232,-72.623722,0.265913,2022,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,NORTHAMPTON ST/GLEN ST.,CONNECTICUT R.,,26,250138121031
86,HOL08,42.188287,-72.618318,13.625258,2023,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,SPRINGDALE PARK,CONNECTICUT R.,,40,250138121031
87,HOL09,42.190085,-72.612381,118.336,2022,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,BERKSHIRE ST.,CONNECTICUT R.,,29,250138121031
88,LOW002,42.64643,-71.334308,13.29,2023,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WALKER STREET,MERRIMACK RIVER,,10,250173107002
89,LOW007,42.659463,-71.318725,11.7,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,BEAVER BROOK,BEAVER BROOK,,16,250173105001
90,LOW008,42.652007,-71.310842,80.0,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WEST STREET,MERRIMACK RIVER,,18,250173104002
91,LOW011,42.647614,-71.301158,0.23,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,READ STREET,MERRIMACK RIVER,,5,250173102003
92,LOW020,42.643101,-71.304911,56.79,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WARREN STREET,CONCORD RIVER,,17,250173124001
93,LOW027,42.650916,-71.311421,18.13,2023,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,TILDEN STREET,MERRIMACK RIVER,,18,250173104002
94,LOW030-1,42.645468,-71.288574,57.98,2022,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,BARASFORD AVE,MERRIMACK RIVER,,19,250173125011
95,LOW030-2,42.645304,-71.288916,67.042,2023,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,MERRIMACK STATION,MERIMACK RIVER,,21,250173125011
96,LYNN003,42.45786,-70.975228,8.605317,2022,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,SUMMER STREET@SAUGUS RIVER,SAUGUS RIVER,,22,250092057005
97,LYNN004,42.459741,-70.944738,9.318638,2023,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,NW BANK OF BROAD SOUND @254 LYNWAY@PLEASANT ST,LYNN HARBOR,,13,250092069003
98,LYNN005,42.459786,-70.944642,18.602051,2023,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,180 LYNNWAY,LYNN HARBOR,,15,250092069003
99,MON001,42.580132,-72.573203,0.015972,2023,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,GREENFIELD RD NEAR WPCF,CONNECTICUT R.,,8,250110407022
100,MON002,42.606275,-72.564999,0.298068,2022,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,OFF POWER ST ADJACENT TO POWER CANAL,POWER CANAL CONNECTICUT RIVER,,28,250110407011
101,MWR003,42.397102,-71.144062,0.03,2023,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,CAMBRIDGE,165 FT WEST OF ALEWIFE STATION ACCESS RD,LITTLE RIVER,,1,250173561003
102,MWR023,42.351704,-71.092425,0.01,2022,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,STORROW DRIVE @MUDDY RIVER,CHARLES RIVER BASIN,,1,250259815011
103,MWR201,42.352593,-71.111151,13.9,2023,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,125 FT WEST OF BU BRIDGE,CHARLES RIVER BASIN,,2,250259815011
104,MWR203,42.368951,-71.060903,128.42,2022,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,JUST NORTH OF LOCKS AT CHARLSTOWN BRIDGE,CHARLES RIVER,,8,250250404012
105,MWR205,42.394053,-71.076057,52.06,2022,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,SOMERVILLE,EAST BNK MYSTIC 150 FT SW OF MDC LOCKS,MYSTIC RIVER,,24,250250406001
106,NEW003,41.612429,-70.930385,60.53941,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,COVE RD & PADNARAM AVE,CLARK COVE,,83,250056524002
107,NEW004,41.613812,-70.926942,3.85,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,HURRICAN BARRIER CLARK'S COVE PUMP STATION,CLARK COVE,,1,250056524002
108,NEW005,41.608492,-70.91796,9.50998,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,DUDLEY & RFB,CLARK COVE,,14,250056527003
109,NEW006,41.604404,-70.915293,4.63085,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,LUCAS STREET & RFB,CLARK COVE,,19,250056528002
110,NEW007,41.603299,-70.914625,0.40995,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,CAPITAL AND ROD. FRENCH BLVD,CLARK COVE,,4,250056528002
111,NEW008,41.602802,-70.914132,9.11665,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,CALUMET ST & RFB,CLARK COVE,,11,250056528002
112,NEW010,41.601723,-70.913358,0.31376,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,BELLEVUE ST & RFB,CLARK COVE,,6,250056528002
113,NEW012,41.603042,-70.901855,28.20287,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,RICKETSON ST,OUTER NEW BEDFORD HARBOR,,13,250056528001
114,NEW013,41.604264,-70.902139,4.16451,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,AQUIDNECK & RFB,OUTER NEW BEDFORD HARBOR,,15,250056528001
115,NEW016,41.611188,-70.905967,0.4351,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,FREDERICK ST & RFB,OUTER NEW BEDFORD HARBOR,,6,250056527003
116,NEW017,41.613775,-70.907992,56.48996,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,DAVID ST & RFB,OUTER NEW BEDFORD HARBOR,,28,250056527002
117,NEW018,41.617294,-70.912893,25.70497,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,COVE ST AND E. RODNEY FRENCH BLVD,OUTER NEW BEDFORD HARBOR,,40,250056526002
118,NEW022,41.658549,-70.919419,11.58294,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,SAWYER ST AT ACUSHNET R,ACUSHNET RIVER,,31,250056512001
119,NEW023,41.663142,-70.91809,212.0453,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,COFFIN AVE,ACUSHNET RIVER,,67,250056507001
120,NEW027,41.683591,-70.919311,10.229665,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,MILL RD AT ACUSHNET RIVER,ACUSHNET RIVER,,37,250056542001
121,NEW031,41.628437,-70.915485,37.82499,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,CONWAY ST AT BUZZARDS BAY,INNER NEW BEDFORD HARBOR,,47,250056519001
122,NEW035,41.64139,-70.921532,6.07281,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,MAXFIELD ST AT BUZZARDS BAY,INNER NEW BEDFORD HARBOR,,23,250056513001
123,NEW036,41.644874,-70.921181,8.9148,2022,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,HERVEY TICHON AVE AT BUSSARDS BAY,INNER NEW BEDFORD HARBOR,,38,250056513001
124,NEW041,41.66914,-70.919041,5.77926,2023,CSO,CITY OF NEW BEDFORD,MA0100781,NEW BEDFORD,BELLEVILLE RD AT ACUSHNET R,ACUSHNET RIVER,,6,250056504001
125,SOM001A,42.402432,-71.135119,1.209,2023,CSO,CITY OF SOMERVILLE,MA0101982,CAMBRIDGE,100 FT BEYOND END OF MATIGNON RD,ALEWIFE BROOK,,3,250173567011
126,SOM007A/MWR205A,42.398244,-71.083419,18.89,2023,CSO,CITY OF SOMERVILLE,MA0101982,SOMERVILLE,SOUTH BANK OF MYSTIC RIVER AT INT OF ASSEMBLY SQ DR & 28,MYSTIC RIVER,,10,250173398022
127,SPR007,42.118805,-72.619811,0.259,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,ROWLAND ST.,CONNECTICUT R.,,2,250138007002
128,SPR008,42.112202,-72.615681,8.854,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,WASHBURN ST.,CONNECTICUT R.,,9,250138007002
129,SPR010,42.104667,-72.602303,92.746,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,CLINTON ST.,CONNECTICUT R.,,46,250138011011
130,SPR011,42.103524,-72.599213,0.371866,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,LIBERTY ST.,CONNECTICUT R.,,3,250138011011
131,SPR012,42.101555,-72.59553,58.717,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,WORTHINGTON ST.,CONNECTICUT R.,,43,250138011011
132,SPR013,42.101052,-72.594663,31.952,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,BRIDGE ST.,CONNECTICUT R.,,21,250138011011
133,SPR014,42.09855,-72.591459,19.777,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,ELM ST.,CONNECTICUT R.,,40,250138011011
134,SPR015A,42.095739,-72.588322,2.789,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,UNION ST.,CONNECTICUT R.,,13,250138020001
135,SPR015B,42.095739,-72.588322,0.531,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,UNION ST.,CONNECTICUT R.,,8,250138020001
136,SPR016,42.090259,-72.583882,82.945,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,YORK ST.,CONNECTICUT R.,,37,250138020001
137,SPR017,42.090034,-72.577037,0.615,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,FORT PLEASANT (BLAKE HILL),MILL R.,,10,250138019011
138,SPR018,42.07809,-72.580906,0.204,2023,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,LONGHILL ST.,CONNECTICUT R.,,7,250138132092
139,SPR019,42.093505,-72.569717,8.984715,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,"MILL, ORANGE & LOCUST STS.",MILL R.,,3,250138019012
140,SPR024,42.09662,-72.564081,0.127,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,RIFLE & CENTRAL STS.,MILL R.,,3,250138022001
141,SPR025,42.096651,-72.563944,2.931,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,ALLEN & OAKLAND STS.,MILL R.,,14,250138022001
142,SPR034,42.160362,-72.509734,0.873,2022,CSO,SPRINGFIELD WATER & SEWER COMMISSION,MA0101613,SPRINGFIELD,MAIN ST.,CHICOPEE R.,,12,250138001022
