City_/_Town_(Receiving_Water),Applicant_/_Facility_Name,Permit_Number,Date_of_Issuance,City/Town,Facility_Name,Facility_name_clean,Permit_URL,Stage,State,Watershed,City_/_Town,Comment_Period_Dates
Branford (Branford Harbor),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100048permit-2013.pdf'>Branford <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(430 KB)</span>",CT0100048,07/08/2013,Branford,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100048permit-2013.pdf'>Branford <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(430 KB)</span>","Branford WPCF, Town of (pdf) (430 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100048permit-2013.pdf'],final,ct,Branford Harbor,,
Branford (Long Marsh Creek),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0000906permit-2010.pdf'>Tilcon Connecticut, Inc. (pdf)</a> <span class='document__meta'>(760 KB)</span>",CT0000906,05/03/2010,Branford,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0000906permit-2010.pdf'>Tilcon Connecticut, Inc. (pdf)</a> <span class='document__meta'>(760 KB)</span>","Tilcon Connecticut, Inc. (pdf) (760 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0000906permit-2010.pdf'],final,ct,Long Marsh Creek,,
Bridgeport (Bridgeport Harbor),<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0101010permit-2021.pdf'>Bridgeport East Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(743 KB)</span>,CT0101010,04/13/2021,Bridgeport,<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0101010permit-2021.pdf'>Bridgeport East Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(743 KB)</span>,Bridgeport East Side WPCF (pdf) (743 KB),['https://www.epa.gov/system/files/documents/2025-06/finalct0101010permit-2021.pdf'],final,ct,Bridgeport Harbor,,
Bridgeport (Bridgeport Harbor),<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101010permit-2015.pdf'>Bridgeport East Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,CT0101010,10/29/2015,Bridgeport,<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101010permit-2015.pdf'>Bridgeport East Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,Bridgeport East Side WPCF (pdf) (1.1 MB),['https://www.epa.gov/system/files/documents/2025-07/finalct0101010permit-2015.pdf'],final,ct,Bridgeport Harbor,,
"Bridgeport (Long Island Sound, Cedar Creek)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2019.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,CT0100056,06/03/2019,Bridgeport,<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2019.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,Bridgeport West Side WPCF (pdf) (1.2 MB),['https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2019.pdf'],final,ct,"Long Island Sound, Cedar Creek",,
"Bridgeport (Long Island Sound, Cedar Creek)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2013.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(175 KB)</span>,CT0100056,06/19/2013,Bridgeport,<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2013.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(175 KB)</span>,Bridgeport West Side WPCF (pdf) (175 KB),['https://www.epa.gov/system/files/documents/2025-07/finalct0100056permit-2013.pdf'],final,ct,"Long Island Sound, Cedar Creek",,
"Bridgeport (Long Island Sound, Cedar Creek)",<a href='https://www.epa.gov/system/files/documents/2025-09/bridgeportpermit-2003.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,CT0100056,03/17/2003,Bridgeport,<a href='https://www.epa.gov/system/files/documents/2025-09/bridgeportpermit-2003.pdf'>Bridgeport West Side <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,Bridgeport West Side WPCF (pdf) (1.3 MB),['https://www.epa.gov/system/files/documents/2025-09/bridgeportpermit-2003.pdf'],final,ct,"Long Island Sound, Cedar Creek",,
Bridgeport (Bridgeport Harbor),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0030501permit-2010.pdf'>Derecktor Shipyards Conn, LLC (pdf)</a> <span class='document__meta'>(99 KB)</span>",CT0030501,07/06/2010,Bridgeport,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0030501permit-2010.pdf'>Derecktor Shipyards Conn, LLC (pdf)</a> <span class='document__meta'>(99 KB)</span>","Derecktor Shipyards Conn, LLC (pdf) (99 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0030501permit-2010.pdf'],final,ct,Bridgeport Harbor,,
Bristol (Pequabuck River),"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100374permit-2020.pdf'>Bristol WPCF, City (pdf)</a> <span class='document__meta'>(616 KB)</span>",CT0100374,09/09/2020,Bristol,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100374permit-2020.pdf'>Bristol WPCF, City (pdf)</a> <span class='document__meta'>(616 KB)</span>","Bristol WPCF, City (pdf) (616 KB)",['https://www.epa.gov/system/files/documents/2025-06/finalct0100374permit-2020.pdf'],final,ct,Pequabuck River,,
Canton (Farmington River),<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100072permit-2011.pdf'>Canton <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(966 KB)</span>,CT0100072,04/25/2011,Canton,<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100072permit-2011.pdf'>Canton <abbr title='Water Pollution Control Facility'>WPCF</abbr> (pdf)</a> <span class='document__meta'>(966 KB)</span>,Canton WPCF (pdf) (966 KB),['https://www.epa.gov/system/files/documents/2025-08/finalct0100072permit-2011.pdf'],final,ct,Farmington River,,
Central Village (Moosup River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100447permit-2005.pdf'>Plainfield North Plant, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>",CT0100447,10/18/2005,Central Village,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0100447permit-2005.pdf'>Plainfield North Plant, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>","Plainfield North Plant, Town of (pdf) (1.1 MB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0100447permit-2005.pdf'],final,ct,Moosup River,,
Cheshire (Quinnipac River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100081permit-2017.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0100081,09/27/2017,Cheshire,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100081permit-2017.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Cheshire WPCD, Town of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100081permit-2017.pdf'],final,ct,Quinnipac River,,
Cheshire (Quinnipac River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100081permit-2012.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(244 KB)</span>",CT0100081,09/19/2012,Cheshire,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100081permit-2012.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(244 KB)</span>","Cheshire WPCD, Town of (pdf) (244 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0100081permit-2012.pdf'],final,ct,Quinnipac River,,
Cheshire (Quinnipac River),"<a href='https://www.epa.gov/system/files/documents/2025-09/ct0100081permit-2004.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(986 KB)</span>",CT0100081,09/27/2004,Cheshire,"<a href='https://www.epa.gov/system/files/documents/2025-09/ct0100081permit-2004.pdf'>Cheshire <abbr title='Water Pollution Control Division'>WPCD</abbr>, Town of (pdf)</a> <span class='document__meta'>(986 KB)</span>","Cheshire WPCD, Town of (pdf) (986 KB)",['https://www.epa.gov/system/files/documents/2025-09/ct0100081permit-2004.pdf'],final,ct,Quinnipac River,,
Cheshire (Judd Brook),<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0025267permit-2006.pdf'>Erickson Metals Corporation (pdf)</a> <span class='document__meta'>(595 KB)</span>,CT0025267,07/26/2006,Cheshire,<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0025267permit-2006.pdf'>Erickson Metals Corporation (pdf)</a> <span class='document__meta'>(595 KB)</span>,Erickson Metals Corporation (pdf) (595 KB),['https://www.epa.gov/system/files/documents/2025-09/finalct0025267permit-2006.pdf'],final,ct,Judd Brook,,
Clinton (Indian River Watershed),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalctui0000504permit-2016.pdf'>Clinton, Town of (pdf)</a> <span class='document__meta'>(327 KB)</span>",UI0000504,10/11/2016,Clinton,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalctui0000504permit-2016.pdf'>Clinton, Town of (pdf)</a> <span class='document__meta'>(327 KB)</span>","Clinton, Town of (pdf) (327 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalctui0000504permit-2016.pdf'],final,ct,Indian River Watershed,,
Colebrook (Still River (CT4303-00_02)/Class B),<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0030812permit-2024.pdf'>FirstLight CT Hydro LLC - Colebrook (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,CT0030812,08/03/2024,Colebrook,<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0030812permit-2024.pdf'>FirstLight CT Hydro LLC - Colebrook (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,FirstLight CT Hydro LLC - Colebrook (pdf) (1.1 MB),['https://www.epa.gov/system/files/documents/2025-06/finalct0030812permit-2024.pdf'],final,ct,Still River,,
"Coventry (Ash Brook, Baker Brook, Blackledge River, Bolton Pond Brook, Conantville Brook, Coventry Brook, Fenton River, French Brook, Hemlock Brook, Hop River, Knowlton Brook, Lipps Brook, Lowry Brook, Massinger Brook, Mitterholtzer Brook, Olsons Brook, Post  Brook, Reed Brook, Skungamaug River, Straddle Brook, Tankerhoosen River, Tunnell Brook and Willimantic River)",<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0030818permit-2024.pdf'>Hytone Farm LLC CAFO (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,CT0030818,08/19/2024,Coventry,<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0030818permit-2024.pdf'>Hytone Farm LLC CAFO (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,Hytone Farm LLC CAFO (pdf) (1.1 MB),['https://www.epa.gov/system/files/documents/2025-06/finalct0030818permit-2024.pdf'],final,ct,"Ash Brook, Baker Brook, Blackledge River, Bolton Pond Brook, Conantville Brook, Coventry Brook, Fenton River, French Brook, Hemlock Brook, Hop River, Knowlton Brook, Lipps Brook, Lowry Brook, Massinger Brook, Mitterholtzer Brook, Olsons Brook, Post  Brook, Reed Brook, Skungamaug River, Straddle Brook, Tankerhoosen River, Tunnell Brook and Willimantic River",,
Cromwell (Connecticut River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100307permit-2009.pdf'>Mattabassett District, The (pdf)</a> <span class='document__meta'>(117 KB)</span>",CT0100307,06/30/2009,Cromwell,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0100307permit-2009.pdf'>Mattabassett District, The (pdf)</a> <span class='document__meta'>(117 KB)</span>","Mattabassett District, The (pdf) (117 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0100307permit-2009.pdf'],final,ct,Connecticut River,,
Danbury (Limekiln Brook),"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100145permit-2021.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(725 KB)</span>",CT0100145,06/25/2021,Danbury,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0100145permit-2021.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(725 KB)</span>","Danbury WPCF, City of (pdf) (725 KB)",['https://www.epa.gov/system/files/documents/2025-06/finalct0100145permit-2021.pdf'],final,ct,Limekiln Brook,,
Danbury (Limekiln Brook),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100145permitmod-2014.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Modification) (pdf)</a> <span class='document__meta'>(45 KB)</span>",CT0100145,12/04/2014,Danbury,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100145permitmod-2014.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (Modification) (pdf)</a> <span class='document__meta'>(45 KB)</span>","Danbury WPCF, City of (Modification) (pdf) (45 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100145permitmod-2014.pdf'],final,ct,Limekiln Brook,,
Danbury (Limekiln Brook),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100145permit-2014.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0100145,10/30/2014,Danbury,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0100145permit-2014.pdf'>Danbury <abbr title='Water Pollution Control Facility'>WPCF</abbr>, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Danbury WPCF, City of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0100145permit-2014.pdf'],final,ct,Limekiln Brook,,
Danbury (Limekiln Brook),"<a href='https://www.epa.gov/system/files/documents/2025-09/danburypermit-2003.pdf'>Danbury, City of (pdf)</a> <span class='document__meta'>(1.2 MB)</span>",CT0100145,02/13/2003,Danbury,"<a href='https://www.epa.gov/system/files/documents/2025-09/danburypermit-2003.pdf'>Danbury, City of (pdf)</a> <span class='document__meta'>(1.2 MB)</span>","Danbury, City of (pdf) (1.2 MB)",['https://www.epa.gov/system/files/documents/2025-09/danburypermit-2003.pdf'],final,ct,Limekiln Brook,,
Danielson (Quinebaug River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0101257permit-2012.pdf'>Killingly, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0101257,07/20/2012,Danielson,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0101257permit-2012.pdf'>Killingly, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Killingly, Town of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0101257permit-2012.pdf'],final,ct,Quinebaug River,,
Deep River (Connecticut River/SB 4000-00),"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0101745permit-2023.pdf'>Deep River <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>",CT0101745,11/16/2023,Deep River,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0101745permit-2023.pdf'>Deep River <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>","Deep River WPCF, Town of (pdf) (1.4 MB)",['https://www.epa.gov/system/files/documents/2025-06/finalct0101745permit-2023.pdf'],final,ct,Connecticut River/SB 4000-00,,
Deep River (Connecticut River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101745permit-2017.pdf'>Deep River <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>",CT0101745,09/06/2017,Deep River,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101745permit-2017.pdf'>Deep River <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>","Deep River WPCF, Town of (pdf) (1.1 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0101745permit-2017.pdf'],final,ct,Connecticut River,,
