Watershed,waterBody,cso_id,DischargeVolume
MERRIMACK,MERRIMACK RIVER,LOW011,0.02
MERRIMACK,MERRIMACK RIVER,LOW027,9.85
MERRIMACK,MERRIMACK RIVER,LOW030-1,30.43
MERRIMACK,SPICKETT HARBOR,GLSD006,0.48
MT HOPE BAY,MOUNT HOPE BAY,001,191.66
MT HOPE BAY,MOUNT HOPE BAY,FAL002,9.157647
MT HOPE BAY,MOUNT HOPE BAY,FAL003,1.764397
MT HOPE BAY,MOUNT HOPE BAY,FAL004,0.475561
MT HOPE BAY,MOUNT HOPE BAY,FAL005,0.136616
MT HOPE BAY,MOUNT HOPE BAY,FAL006,0.725104
MT HOPE BAY,MOUNT HOPE BAY,FAL007,0.100132
MT HOPE BAY,MOUNT HOPE BAY,FAL008,0.097089
MT HOPE BAY,QUEQUECHAN RIVER,FAL009,0.294168
MT HOPE BAY,QUEQUECHAN RIVER,FAL019,0.176947
MYSTIC,ALEWIFE BROOK,CAM401A,0.45
MYSTIC,ALEWIFE BROOK,SOM001A,0.032
MYSTIC,BOSTON INNER HARBOR,BOS003,0.26
MYSTIC,BOSTON INNER HARBOR,BOS009,0.0276
MYSTIC,CHELSEA RIVER,CHE008,0.286
MYSTIC,LITTLE MYSTIC CHANNEL,BOS019,0.0715
MYSTIC,MYSTIC RIVER,MWR205,15.08
MYSTIC,MYSTIC RIVER,SOM007A/MWR205A,2.72
NASHUA,BIRCH BROOK @ HEYWOOD ST,FIT076,0.007
NASHUA,NASHUA RIVER,FIT010,0.869061
NASHUA,NASHUA RIVER,FIT032,0.452962
NASHUA,NASHUA RIVER,FIT064,1.125267
NASHUA,NORTH NASHUA RIVER,063,14.1767
NASHUA,PUNCH BROOK CULVERT @ BOULDER DRIVE VIA PUTNAM ST.,FIT045A,0.665586
NASHUA,PUNCH BROOK CULVERT @ MAIN ST.,FIT083,0.125478
NASHUA,PUNCH BROOK CULVERT@BOULDER ST VIA MAIN ST,FIT045B,0.225
NORTH COAST,INNER HARBOR,GLO006A,0.018
NORTH COAST,LYNN HARBOR,LYNN004,3.1
NORTH COAST,LYNN HARBOR,LYNN005,6.781
NORTH COAST,SAUGUS RIVER,LYNN003,2.818
SHAWSHEEN,MERRIMACK RIVER,GLSD002,2.37
TAUNTON,TAUNTON RIVER,FAL010,9.615183
TAUNTON,TAUNTON RIVER,FAL011,27.945566
TAUNTON,TAUNTON RIVER,FAL013,33.092598
TAUNTON,TAUNTON RIVER,FAL014,8.331245
WESTFIELD,CONNECTICUT RIVER,001,6.1
WESTFIELD,CONNECTICUT RIVER,SPR042,5.277016
