State,BudgetDetail,value,Year
Alabama,Percent from Federal Government,35.30,2012
Alabama,Percent from Federal Government,34.20,2013
Alabama,Percent from Federal Government,33.34,2016
Alabama,Percent from Federal Government,33.34,2016_old
Alabama,Percent from Federal Government,33.2,2017
Alabama,Percent from Federal Government,32.63,2018
Alabama,Percent from Federal Government,35.44,2019
Alabama,Percent from Federal Government,28.93,2020
Alabama,Percent from Federal Government,25.66,2021
Alabama,Percent from Federal Government,28.54,2022
Alabama,Percent from Federal Government,27.63,2023
Alabama,Percent from Fees / Other,51.10,2011_old
Alabama,Percent from Fees / Other,58.80,2012
Alabama,Percent from Fees / Other,61.10,2013
Alabama,Percent from Fees / Other,66.14,2016
Alabama,Percent from Fees / Other,66.14,2016_old
Alabama,Percent from Fees / Other,66.07,2017
Alabama,Percent from Fees / Other,66.34,2018
Alabama,Percent from Fees / Other,63.57,2019
Alabama,Percent from Fees / Other,64.48,2020
Alabama,Percent from Fees / Other,67.81,2021
Alabama,Percent from Fees / Other,62.54,2022
Alabama,Percent from Fees / Other,63.82,2023
Alabama,Percent from General Fund,9.10,2011_old
Alabama,Percent from General Fund,6.00,2012
Alabama,Percent from General Fund,4.70,2013
Alabama,Percent from General Fund,0.52,2016
Alabama,Percent from General Fund,0.52,2016_old
Alabama,Percent from General Fund,0.73,2017
Alabama,Percent from General Fund,1.03,2018
Alabama,Percent from General Fund,0.99,2019
Alabama,Percent from General Fund,6.58,2020
Alabama,Percent from General Fund,6.53,2021
Alabama,Percent from General Fund,8.93,2022
Alabama,Percent from General Fund,8.55,2023
Alabama,Status of Budget,Actual,2011_old
Alabama,Status of Budget,Approved,2012
Alabama,Status of Budget,House Passed,2013
Alabama,Status of Budget,Actual,2013_old
Alabama,Status of Budget,Actual,2014
Alabama,Status of Budget,Actual,2015
Alabama,Status of Budget,Actual Expenses,2016
Alabama,Status of Budget,Actual Expenses,2016_old
Alabama,Status of Budget,Actual Expenses,2017
Alabama,Status of Budget,Actual Expenses,2018
Alabama,Status of Budget,Actual Expenses,2019
Alabama,Status of Budget,Actual Expenses,2020
Alabama,Status of Budget,Actual Expenses,2021
Alabama,Status of Budget,Actual Expenses,2022
Alabama,Status of Budget,Actual Expenses,2023
Alaska,Amount from Federal Government,22787500,2013_old
Alaska,Amount from Federal Government,22210300,2014
Alaska,Amount from Federal Government,18836000,2015
Alaska,Amount from Federal Government,19976600,2016
Alaska,Amount from Federal Government,19976600,2016_old
Alaska,Amount from Federal Government,19614100,2017
Alaska,Amount from Federal Government,18973000,2018
Alaska,Amount from Federal Government,19937000,2019
Alaska,Amount from Fees / Other,10309000,2013_old
Alaska,Amount from Fees / Other,11463700,2014
Alaska,Amount from Fees / Other,10666200,2015
Alaska,Amount from Fees / Other,36173200,2016
Alaska,Amount from Fees / Other,36173200,2016_old
Alaska,Amount from Fees / Other,37203600,2017
Alaska,Amount from Fees / Other,38839200,2018
Alaska,Amount from Fees / Other,38760800,2019
Alaska,Amount from General Fund,46914800,2013_old
Alaska,Amount from General Fund,49368200,2014
Alaska,Amount from General Fund,47273800,2015
Alaska,Amount from General Fund,19903500,2016
Alaska,Amount from General Fund,19903500,2016_old
Alaska,Amount from General Fund,16834800,2017
Alaska,Amount from General Fund,15276000,2018
Alaska,Amount from General Fund,15385800,2019
Alaska,Amount from General Fund,15562200,2020
Alaska,Amount from General Fund,16270300,2021
Alaska,Amount from General Fund,17865900,2022
Alaska,Amount from General Fund,20704400,2023
Alaska,Amount of Budget from SRF,18345000,2011_old
Alaska,Amount of Budget from SRF,17519000,2012
Alaska,Environmental Agency Budget,76073300,2016
Alaska,Environmental Agency Budget,76073300,2016_old
Alaska,Environmental Agency Budget,73652500,2017
Alaska,Environmental Agency Budget,73088200,2018
Alaska,Environmental Agency Budget,74083600,2019
Alaska,Environmental Agency Budget,69784700,2020
Alaska,Environmental Agency Budget,72576400,2021
Alaska,Environmental Agency Budget,74461500,2022
Alaska,Environmental Agency Budget,80073300,2023
Alaska,Environmental Agency Budget (SRF Added),91404400,2011_old
Alaska,Environmental Agency Budget (SRF Added),97528900,2012
Alaska,Environmental Agency Budget (SRF Added),83552300,2013
Alaska,Percent from Federal Government,26.54,2011_old
Alaska,Percent from Federal Government,29.01,2012
Alaska,Percent from Federal Government,29.00,2013
Alaska,Percent from Federal Government,26.26,2016
Alaska,Percent from Federal Government,26.26,2016_old
Alaska,Percent from Federal Government,26.63,2017
Alaska,Percent from Federal Government,25.96,2018
Alaska,Percent from Federal Government,26.91,2019
Alaska,Percent from Fees / Other,13.27,2011_old
Alaska,Percent from Fees / Other,13.22,2012
Alaska,Percent from Fees / Other,13.50,2013
Alaska,Percent from Fees / Other,47.55,2016
Alaska,Percent from Fees / Other,47.55,2016_old
Alaska,Percent from Fees / Other,50.51,2017
Alaska,Percent from Fees / Other,53.14,2018
Alaska,Percent from Fees / Other,52.32,2019
Alaska,Percent from General Fund,60.19,2011_old
Alaska,Percent from General Fund,57.77,2012
Alaska,Percent from General Fund,57.49,2013
Alaska,Percent from General Fund,26.16,2016
Alaska,Percent from General Fund,26.16,2016_old
Alaska,Percent from General Fund,22.86,2017
Alaska,Percent from General Fund,20.9,2018
Alaska,Percent from General Fund,20.77,2019
Alaska,Percent from General Fund,22.3,2020
Alaska,Percent from General Fund,22.42,2021
Alaska,Percent from General Fund,23.99,2022
Alaska,Percent from General Fund,25.86,2023
Alaska,Status of Budget,Actual,2011_old
Alaska,Status of Budget,Authorized,2012
Alaska,Status of Budget,Proposed,2013
Alaska,Status of Budget,Actual,2013_old
Alaska,Status of Budget,Actual,2014
Alaska,Status of Budget,Actual,2015
Alaska,Status of Budget,Actual,2016
Alaska,Status of Budget,Actual,2016_old
Alaska,Status of Budget,Actual,2017
Alaska,Status of Budget,Actual,2018
Alaska,Status of Budget,Actual,2019
Alaska,Status of Budget,Actual Expenses,2020
Alaska,Status of Budget,Actual Expenses,2021
Alaska,Status of Budget,Actual Expenses,2022
Alaska,Status of Budget,Actual Expenses,2023
Arizona,Amount from Federal Government,73847160,2013_old
Arizona,Amount from Federal Government,42355626,2014
Arizona,Amount from Federal Government,43152560,2015
Arizona,Amount from Federal Government,20051700,2016
Arizona,Amount from Federal Government,20051700,2016_old
Arizona,Amount from Federal Government,21221260,2017
Arizona,Amount from Federal Government,20282900,2018
Arizona,Amount from Federal Government,20327760,2019
Arizona,Amount from Federal Government,16675600,2020
Arizona,Amount from Federal Government,17512200,2021
Arizona,Amount from Federal Government,17280600,2022
Arizona,Amount from Federal Government,17334800,2023
Arizona,Amount from Fees / Other,95916600,2013_old
Arizona,Amount from Fees / Other,101174600,2014
Arizona,Amount from Fees / Other,98961200,2015
Arizona,Amount from Fees / Other,150599600,2020
Arizona,Amount from Fees / Other,131113800,2021
Arizona,Amount from Fees / Other,142153700,2022
Arizona,Amount from Fees / Other,167219400,2023
Arizona,Amount from General Fund,0,2013_old
Arizona,Amount from General Fund,0,2014
Arizona,Amount from General Fund,0,2015
Arizona,Amount from General Fund,0,2016
Arizona,Amount from General Fund,0,2016_old
Arizona,Amount from General Fund,0,2017
Arizona,Amount from General Fund,0,2018
Arizona,Amount from General Fund,0,2019
Arizona,Amount from General Fund,200000,2020
Arizona,Amount from General Fund,15000000,2021
Arizona,Amount from General Fund,15000000,2022
Arizona,Amount from General Fund,22900000,2023
Arizona,Amount of Budget from SRF,Included,2011_old
Arizona,Amount of Budget from SRF,Included,2012
Arizona,Amount of Budget from SRF,Included,2013
Arizona,Environmental Agency Budget,383088900,2011_old
Arizona,Environmental Agency Budget,351610300,2012
Arizona,Environmental Agency Budget,351610300,2013
Arizona,Environmental Agency Budget,131465900,2016
Arizona,Environmental Agency Budget,131465900,2016_old
Arizona,Environmental Agency Budget,157315800,2017
Arizona,Environmental Agency Budget,155825100,2018
Arizona,Environmental Agency Budget,160696850,2019
Arizona,Environmental Agency Budget,167475200,2020
Arizona,Environmental Agency Budget,163626000,2021
Arizona,Environmental Agency Budget,174434300,2022
Arizona,Environmental Agency Budget,207454200,2023
Arizona,Percent from Federal Government,9.29,2011_old
Arizona,Percent from Federal Government,5.85,2012
Arizona,Percent from Federal Government,5.85,2013
Arizona,Percent from Federal Government,15.25,2016
Arizona,Percent from Federal Government,15.25,2016_old
Arizona,Percent from Federal Government,13.49,2017
Arizona,Percent from Federal Government,13.02,2018
Arizona,Percent from Federal Government,12.65,2019
Arizona,Percent from Federal Government,9.96,2020
Arizona,Percent from Federal Government,10.7,2021
Arizona,Percent from Federal Government,9.91,2022
Arizona,Percent from Federal Government,8.36,2023
Arizona,Percent from Fees / Other,88.88,2011_old
Arizona,Percent from Fees / Other,92.16,2012
Arizona,Percent from Fees / Other,92.16,2013
Arizona,Percent from Fees / Other,89.92,2020
Arizona,Percent from Fees / Other,80.13,2021
Arizona,Percent from Fees / Other,81.49,2022
Arizona,Percent from Fees / Other,80.61,2023
Arizona,Percent from General Fund,1.83,2011_old
Arizona,Percent from General Fund,1.99,2012
Arizona,Percent from General Fund,1.99,2013
Arizona,Percent from General Fund,0.0,2016
Arizona,Percent from General Fund,0.0,2016_old
Arizona,Percent from General Fund,0.0,2017
Arizona,Percent from General Fund,0.0,2018
Arizona,Percent from General Fund,0.0,2019
Arizona,Percent from General Fund,0.12,2020
Arizona,Percent from General Fund,9.17,2021
Arizona,Percent from General Fund,8.6,2022
Arizona,Percent from General Fund,11.04,2023
Arizona,Status of Budget,Final,2011_old
Arizona,Status of Budget,Current,2012
Arizona,Status of Budget,Proposed,2013
Arizona,Status of Budget,Final,2013_old
Arizona,Status of Budget,Final,2014
Arizona,Status of Budget,Final,2015
Arizona,Status of Budget,Final,2016
Arizona,Status of Budget,Final,2016_old
Arizona,Status of Budget,Final,2017
Arizona,Status of Budget,Final,2018
Arizona,Status of Budget,Final,2019
Arizona,Status of Budget,Final,2020
Arizona,Status of Budget,Final,2021
Arizona,Status of Budget,Final,2022
Arizona,Status of Budget,Final,2023
Arkansas,Amount from Federal Government,26697283,2013_old
Arkansas,Amount from Federal Government,19211392,2014
Arkansas,Amount from Federal Government,19263954,2015
Arkansas,Amount from Federal Government,19815673,2016
Arkansas,Amount from Federal Government,19815673,2016_old
Arkansas,Amount from Federal Government,19447035,2017
Arkansas,Amount from Federal Government,19007835,2018
Arkansas,Amount from Federal Government,26095607,2019
Arkansas,Amount from Fees / Other,76978828,2013_old
Arkansas,Amount from Fees / Other,80061043,2014
Arkansas,Amount from Fees / Other,80134791,2015
Arkansas,Amount from Fees / Other,81171966,2016
Arkansas,Amount from Fees / Other,81171966,2016_old
Arkansas,Amount from Fees / Other,91158502,2017
Arkansas,Amount from Fees / Other,103312377,2018
Arkansas,Amount from Fees / Other,104978458,2019
Arkansas,Amount from General Fund,5172663,2013_old
Arkansas,Amount from General Fund,5181092,2014
Arkansas,Amount from General Fund,5184012,2015
Arkansas,Amount from General Fund,5127142,2016
Arkansas,Amount from General Fund,5127142,2016_old
Arkansas,Amount from General Fund,5129143,2017
Arkansas,Amount from General Fund,5036257,2018
Arkansas,Amount from General Fund,5214484,2019
Arkansas,Amount of Budget from SRF,Included,2011_old
Arkansas,Amount of Budget from SRF,Included,2012
Arkansas,Amount of Budget from SRF,Included,2013
Arkansas,Environmental Agency Budget,110723336,2011_old
Arkansas,Environmental Agency Budget,108581950,2012
Arkansas,Environmental Agency Budget,108848774,2013
Arkansas,Environmental Agency Budget,108848774,2013_old
Arkansas,Environmental Agency Budget,104453527,2014
Arkansas,Environmental Agency Budget,104582757,2015
Arkansas,Environmental Agency Budget,106114781,2016
Arkansas,Environmental Agency Budget,106114781,2016_old
Arkansas,Environmental Agency Budget,115734680,2017
Arkansas,Environmental Agency Budget,127356469,2018
Arkansas,Environmental Agency Budget,136288549,2019
Arkansas,Percent from Federal Government,21.20,2011_old
Arkansas,Percent from Federal Government,18.90,2012
Arkansas,Percent from Federal Government,19.30,2013
Arkansas,Percent from Federal Government,18.67,2016
Arkansas,Percent from Federal Government,18.67,2016_old
Arkansas,Percent from Federal Government,16.8,2017
Arkansas,Percent from Federal Government,14.92,2018
Arkansas,Percent from Federal Government,19.15,2019
Arkansas,Percent from Fees / Other,74.60,2011_old
Arkansas,Percent from Fees / Other,76.40,2012
Arkansas,Percent from Fees / Other,76.00,2013
Arkansas,Percent from Fees / Other,76.49,2016
Arkansas,Percent from Fees / Other,76.49,2016_old
Arkansas,Percent from Fees / Other,78.77,2017
Arkansas,Percent from Fees / Other,81.12,2018
Arkansas,Percent from Fees / Other,77.03,2019
Arkansas,Percent from General Fund,4.20,2011_old
Arkansas,Percent from General Fund,4.70,2012
Arkansas,Percent from General Fund,4.70,2013
Arkansas,Percent from General Fund,4.83,2016
Arkansas,Percent from General Fund,4.83,2016_old
Arkansas,Percent from General Fund,4.43,2017
Arkansas,Percent from General Fund,3.95,2018
Arkansas,Percent from General Fund,3.83,2019
Arkansas,Status of Budget,Progress,2011_old
Arkansas,Status of Budget,Final,2012
Arkansas,Status of Budget,Adopted,2013
Arkansas,Status of Budget,Final,2013_old
Arkansas,Status of Budget,Final,2014
Arkansas,Status of Budget,Final,2015
Arkansas,Status of Budget,FINAL,2016
Arkansas,Status of Budget,FINAL,2016_old
Arkansas,Status of Budget,FINAL,2017
Arkansas,Status of Budget,FINAL,2018
Arkansas,Status of Budget,FINAL,2019
California,Amount from Federal Government,192695123,2013_old
California,Amount from Federal Government,318427000,2014
California,Amount from Federal Government,345705000,2015
California,Amount from Federal Government,361500000,2016
California,Amount from Federal Government,361500000,2016_old
California,Amount from Federal Government,362600000,2017
California,Amount from Federal Government,346500000,2018
California,Amount from Federal Government,346500000,2019
California,Amount from Fees / Other,2636334000,2013_old
California,Amount from Fees / Other,3109873000,2014
California,Amount from Fees / Other,4372129000,2015
California,Amount from Fees / Other,3200000000,2016
California,Amount from Fees / Other,3200000000,2016_old
California,Amount from Fees / Other,3500000000,2017
California,Amount from Fees / Other,4099999999,2018
California,Amount from Fees / Other,4600000000,2019
California,Amount from General Fund,40818000,2013_old
California,Amount from General Fund,68680000,2014
California,Amount from General Fund,223556000,2015
California,Amount from General Fund,89600000,2016
California,Amount from General Fund,89600000,2016_old
California,Amount from General Fund,97600000,2017
California,Amount from General Fund,133000000,2018
California,Amount from General Fund,195600000,2019
California,Amount of Budget from SRF,194766000,2011_old
California,Amount of Budget from SRF,186058000,2012
California,Environmental Agency Budget,3700000000,2016
California,Environmental Agency Budget,3700000000,2016_old
California,Environmental Agency Budget,4000000000,2017
California,Environmental Agency Budget,4600000000,2018
California,Environmental Agency Budget,5100000000,2019
California,Environmental Agency Budget,4072936000,2020
California,Environmental Agency Budget,8796345000,2021
California,Environmental Agency Budget,6899248000,2022
California,Environmental Agency Budget,6033169000,2023
California,Environmental Agency Budget (SRF Added),1666922000,2011_old
California,Environmental Agency Budget (SRF Added),1655859000,2012
California,Environmental Agency Budget (SRF Added),1306741000,2013
California,Percent from Bonds,20.01,2011_old
California,Percent from Bonds,25.11,2012
California,Percent from Bonds,16.30,2013
California,Percent from Federal Government,9.77,2016
California,Percent from Federal Government,9.77,2016_old
California,Percent from Federal Government,9.06,2017
California,Percent from Federal Government,7.53,2018
California,Percent from Federal Government,6.79,2019
California,Percent from Fees / Other,74.78,2011_old
California,Percent from Fees / Other,71.43,2012
California,Percent from Fees / Other,80.10,2013
California,Percent from Fees / Other,86.49,2016
California,Percent from Fees / Other,86.49,2016_old
California,Percent from Fees / Other,87.5,2017
California,Percent from Fees / Other,89.13,2018
California,Percent from Fees / Other,90.2,2019
California,Percent from General Fund,5.21,2011_old
California,Percent from General Fund,3.46,2012
California,Percent from General Fund,3.60,2013
California,Percent from General Fund,2.42,2016
California,Percent from General Fund,2.42,2016_old
California,Percent from General Fund,2.44,2017
California,Percent from General Fund,2.89,2018
California,Percent from General Fund,3.84,2019
California,Status of Budget,Enacted,2011_old
California,Status of Budget,Enacted,2012
California,Status of Budget,Proposed,2013
California,Status of Budget,Enacted,2013_old
California,Status of Budget,Enacted,2014
California,Status of Budget,Enacted,2015
California,Status of Budget,enacted,2016
California,Status of Budget,enacted,2016_old
California,Status of Budget,enacted,2017
California,Status of Budget,enacted,2018
California,Status of Budget,enacted,2019
California,Status of Budget,Enacted,2020
California,Status of Budget,Enacted,2021
California,Status of Budget,Enacted,2022
California,Status of Budget,Enacted,2023
Colorado,Amount from Federal Government,25560226,2013_old
Colorado,Amount from Federal Government,28264005,2014
Colorado,Amount from Federal Government,28927035,2015
Colorado,Amount from Federal Government,29657027,2016
Colorado,Amount from Federal Government,29657027,2016_old
Colorado,Amount from Federal Government,26696918,2017
Colorado,Amount from Federal Government,26616265,2018
Colorado,Amount from Federal Government,26598546,2019
Colorado,Amount from Fees / Other,35904295,2013_old
Colorado,Amount from Fees / Other,43196873,2014
Colorado,Amount from Fees / Other,46979480,2015
Colorado,Amount from Fees / Other,47244152,2016
Colorado,Amount from Fees / Other,47244152,2016_old
Colorado,Amount from Fees / Other,48996634,2017
Colorado,Amount from Fees / Other,48118681,2018
Colorado,Amount from Fees / Other,45422711,2019
Colorado,Amount from General Fund,2536466,2013_old
Colorado,Amount from General Fund,19240937,2014
Colorado,Amount from General Fund,23919927,2015
Colorado,Amount from General Fund,4396271,2016
Colorado,Amount from General Fund,4396271,2016_old
Colorado,Amount from General Fund,4209494,2017
Colorado,Amount from General Fund,5450766,2018
Colorado,Amount from General Fund,4705670,2019
Colorado,Amount from General Fund,15537505,2020
Colorado,Amount from General Fund,11871731,2021
Colorado,Amount from General Fund,75768346,2022
Colorado,Amount from General Fund,44826661,2023
Colorado,Amount of Budget from SRF,28636000,2011_old
Colorado,Amount of Budget from SRF,27339000,2012
Colorado,Environmental Agency Budget,61588869,2009
Colorado,Environmental Agency Budget,60619938,2010
Colorado,Environmental Agency Budget,59906708,2011
Colorado,Environmental Agency Budget,81297450,2016
Colorado,Environmental Agency Budget,81297450,2016_old
Colorado,Environmental Agency Budget,79903046,2017
Colorado,Environmental Agency Budget,80185712,2018
Colorado,Environmental Agency Budget,76726927,2019
Colorado,Environmental Agency Budget,101201305,2020
Colorado,Environmental Agency Budget,100199630,2021
Colorado,Environmental Agency Budget,170857868,2022
Colorado,Environmental Agency Budget,181988846,2023
Colorado,Environmental Agency Budget (SRF Added),87121712,2011_old
Colorado,Environmental Agency Budget (SRF Added),85837220,2012
Colorado,Environmental Agency Budget (SRF Added),63967456,2013
Colorado,Percent from Federal Government,40.60,2009
Colorado,Percent from Federal Government,32.60,2010
Colorado,Percent from Federal Government,31.70,2011
Colorado,Percent from Federal Government,42.76,2011_old
Colorado,Percent from Federal Government,38.40,2012
Colorado,Percent from Federal Government,39.90,2013
Colorado,Percent from Federal Government,36.48,2016
Colorado,Percent from Federal Government,36.48,2016_old
Colorado,Percent from Federal Government,33.41,2017
Colorado,Percent from Federal Government,33.19,2018
Colorado,Percent from Federal Government,34.67,2019
Colorado,Percent from Fees / Other,52.70,2009
Colorado,Percent from Fees / Other,61.00,2010
Colorado,Percent from Fees / Other,61.90,2011
Colorado,Percent from Fees / Other,52.39,2011_old
Colorado,Percent from Fees / Other,57.30,2012
Colorado,Percent from Fees / Other,56.20,2013
Colorado,Percent from Fees / Other,58.11,2016
Colorado,Percent from Fees / Other,58.11,2016_old
Colorado,Percent from Fees / Other,61.32,2017
Colorado,Percent from Fees / Other,60.01,2018
Colorado,Percent from Fees / Other,59.2,2019
Colorado,Percent from General Fund,6.70,2009
Colorado,Percent from General Fund,6.40,2010
Colorado,Percent from General Fund,6.40,2011
Colorado,Percent from General Fund,4.85,2011_old
Colorado,Percent from General Fund,4.30,2012
Colorado,Percent from General Fund,3.90,2013
Colorado,Percent from General Fund,5.41,2016
Colorado,Percent from General Fund,5.41,2016_old
Colorado,Percent from General Fund,5.27,2017
Colorado,Percent from General Fund,6.8,2018
Colorado,Percent from General Fund,6.13,2019
Colorado,Percent from General Fund,15.35,2020
Colorado,Percent from General Fund,11.85,2021
Colorado,Percent from General Fund,44.35,2022
Colorado,Percent from General Fund,24.63,2023
Colorado,Status of Budget,Actual Expenditures,2009
Colorado,Status of Budget,Final,2010
Colorado,Status of Budget,Adopted (no,2011
Colorado,Status of Budget,Appropriated,2011_old
Colorado,Status of Budget,Appropriated,2012
Colorado,Status of Budget,Appropriated,2013
Colorado,Status of Budget,Appropriated,2013_old
Colorado,Status of Budget,Appropriated,2014
Colorado,Status of Budget,Appropriated,2015
Colorado,Status of Budget,Appropriated,2016
Colorado,Status of Budget,Appropriated,2016_old
Colorado,Status of Budget,Appropriated,2017
Colorado,Status of Budget,Appropriated,2018
Colorado,Status of Budget,Appropriated,2019
Colorado,Status of Budget,Actual,2020
Colorado,Status of Budget,Actual,2021
Colorado,Status of Budget,Actual,2022
Colorado,Status of Budget,Actual,2023
Connecticut,Amount from Federal Government,40335317,2013_old
Connecticut,Amount from Federal Government,34880165,2014
Connecticut,Amount from Federal Government,29646775,2015
Connecticut,Amount from Federal Government,46221027,2020
Connecticut,Amount from Federal Government,40654149,2021
Connecticut,Amount from Federal Government,50869687,2022
Connecticut,Amount from Federal Government,52827476,2023
Connecticut,Amount from Fees / Other,64289771,2013_old
Connecticut,Amount from Fees / Other,64518694,2014
Connecticut,Amount from Fees / Other,74131020,2015
Connecticut,Amount from Fees / Other,81713258,2020
Connecticut,Amount from Fees / Other,68380033,2021
Connecticut,Amount from Fees / Other,45822091.56,2022
Connecticut,Amount from Fees / Other,41889774.6,2023
Connecticut,Amount from General Fund,70408464,2013_old
Connecticut,Amount from General Fund,78019349,2014
Connecticut,Amount from General Fund,72711066,2015
Connecticut,Amount from General Fund,35398895,2020
Connecticut,Amount from General Fund,38001151,2021
Connecticut,Amount from General Fund,40496873,2022
Connecticut,Amount from General Fund,41871456,2023
Connecticut,Amount of Budget from SRF,27691000,2011_old
Connecticut,Amount of Budget from SRF,26464000,2012
Connecticut,Environmental Agency Budget,175033552,2013_old
Connecticut,Environmental Agency Budget,177418208,2014
Connecticut,Environmental Agency Budget,176488861,2015
Connecticut,Environmental Agency Budget,163333180,2020
Connecticut,Environmental Agency Budget,147035333,2021
Connecticut,Environmental Agency Budget,137188652,2022
Connecticut,Environmental Agency Budget,136588706,2023
Connecticut,Environmental Agency Budget (SRF Added),158049514,2011_old
Connecticut,Environmental Agency Budget (SRF Added),145013817,2012
Connecticut,Environmental Agency Budget (SRF Added),111440507,2013
Connecticut,Percent from Federal Government,27.79,2011_old
Connecticut,Percent from Federal Government,16.56,2012
Connecticut,Percent from Federal Government,17.62,2013
Connecticut,Percent from Federal Government,28.3,2020
Connecticut,Percent from Federal Government,27.65,2021
Connecticut,Percent from Federal Government,37.08,2022
Connecticut,Percent from Federal Government,38.68,2023
Connecticut,Percent from Fees / Other,30.92,2011_old
Connecticut,Percent from Fees / Other,20.31,2012
Connecticut,Percent from Fees / Other,21.61,2013
Connecticut,Percent from Fees / Other,50.03,2020
Connecticut,Percent from Fees / Other,46.51,2021
Connecticut,Percent from Fees / Other,33.4,2022
Connecticut,Percent from Fees / Other,30.67,2023
Connecticut,Percent from General Fund,41.29,2011_old
Connecticut,Percent from General Fund,63.13,2012
Connecticut,Percent from General Fund,60.78,2013
Connecticut,Percent from General Fund,21.67,2020
Connecticut,Percent from General Fund,25.84,2021
Connecticut,Percent from General Fund,29.52,2022
Connecticut,Percent from General Fund,30.66,2023
Connecticut,Status of Budget,Enacted,2011_old
Connecticut,Status of Budget,Current,2012
Connecticut,Status of Budget,Recommended,2013
Connecticut,Status of Budget,Final,2013_old
Connecticut,Status of Budget,Final,2014
Connecticut,Status of Budget,Final,2015
Connecticut,Status of Budget,Actual- Operational Only-Does not include Capital Funds,2020
Connecticut,Status of Budget,Actual- Operational Only-Does not include Capital Funds,2021
Connecticut,Status of Budget,Actual- Operational Only-Does not include Capital Funds,2022
Connecticut,Status of Budget,Actual- Operational Only- Does not include Capital Funds,2023
Delaware,Amount from Federal Government,19996497,2013_old
Delaware,Amount from Federal Government,41572413,2014
Delaware,Amount from Federal Government,27938088,2015
Delaware,Amount from Federal Government,15219016,2016
Delaware,Amount from Federal Government,15219016,2016_old
Delaware,Amount from Federal Government,25926861,2017
Delaware,Amount from Federal Government,52874290,2018
Delaware,Amount from Federal Government,15897451,2019
Delaware,Amount from Fees / Other,33218178,2013_old
Delaware,Amount from Fees / Other,48951307,2014
Delaware,Amount from Fees / Other,47392557,2015
Delaware,Amount from General Fund,18133500,2013_old
Delaware,Amount from General Fund,18716100,2014
Delaware,Amount from General Fund,18461200,2015
Delaware,Amount from General Fund,18960878,2016
Delaware,Amount from General Fund,18960878,2016_old
Delaware,Amount from General Fund,20566133,2017
Delaware,Amount from General Fund,17921130,2018
Delaware,Amount from General Fund,25283576,2019
Delaware,Amount of Budget from SRF,Included,2011_old
Delaware,Amount of Budget from SRF,Included,2012
Delaware,Environmental Agency Budget,165150300,2011_old
Delaware,Environmental Agency Budget,157366600,2012
Delaware,Environmental Agency Budget,141681700,2013
Delaware,Environmental Agency Budget,71348175,2013_old
Delaware,Environmental Agency Budget,109239820,2014
Delaware,Environmental Agency Budget,93791845,2015
Delaware,Environmental Agency Budget,72367954,2016
Delaware,Environmental Agency Budget,72367954,2016_old
Delaware,Environmental Agency Budget,78589505,2017
Delaware,Environmental Agency Budget,101971600,2018
